event,h,arm,n,pos,ap,auc,calib
STAR_PLUS_ELITE,6,mcw5_xcal,35279,153,0.08385276283931695,0.9214512163308262,1.0036588025906485
STAR_PLUS_ELITE,6,mcw1,35279,153,0.08045382263325686,0.9270095443518181,0.568041992699423
STAR_PLUS_ELITE,6,mcw1_xcal,35279,153,0.07526986924681464,0.9142856026428108,0.9921033303662112
STAR_PLUS_ELITE,6,spw10,35279,153,0.05589640853080039,0.917967678635158,1.031198094577644
STAR_PLUS_ELITE,6,spw10_xcal,35279,153,0.05217898666825009,0.9113427887429716,0.9939228754930135
STAR_PLUS_ELITE,6,cond,35279,153,0.11267590561353714,0.9356578688337298,0.71477005656906
STAR_PLUS_ELITE,6,cond_xcal,35279,153,0.0880773232301072,0.9308626200579871,0.9866800200204051
STAR_PLUS_ELITE,6,rank,35279,153,0.05747186824343483,0.917350479450449,1.5507567284529014
STAR_PLUS_ELITE,6,rank_xcal,35279,153,0.04803505676894638,0.9096778209091528,0.9929466309425374
MLB_DEBUT,3,deployed_4x,42119,2217,0.5221769364632545,0.9424199742684868,0.8846166595116041
MLB_DEBUT,3,joint_small,42119,2217,0.5096073333626459,0.9378856525053816,0.9557462338816893
MLB_DEBUT,3,joint_small_xcal,42119,2217,0.5098172858028862,0.9374461227933563,1.0004955529618973
MLB_DEBUT,3,mcw100,42119,2217,0.5084001387821462,0.9383982242737376,0.9698296527676099
MLB_DEBUT,3,mcw100_xcal,42119,2217,0.5087884841014648,0.9379268110795671,1.000400447219131
MLB_DEBUT,3,mcw20,42119,2217,0.5064221820703713,0.9376602920728179,0.9384823114513329
MLB_DEBUT,3,mcw20_xcal,42119,2217,0.5068158708344764,0.9374693246537009,1.0000632009421038
MLB_DEBUT,3,mcw5,42119,2217,0.505888901298259,0.9369520559923006,0.9428884047925821
MLB_DEBUT,3,mcw5_xcal,42119,2217,0.5061682618980264,0.9367539217135207,1.0010437683431723
MLB_DEBUT,3,mcw1,42119,2217,0.5064236040947164,0.936305054736382,0.9362699226398536
MLB_DEBUT,3,mcw1_xcal,42119,2217,0.5065535028664145,0.936153250701024,1.0010702959924807
MLB_DEBUT,6,deployed_4x,35279,3063,0.5630618574613828,0.9239464793269008,0.9188058503792924
MLB_DEBUT,6,joint_small,35279,3063,0.5486909475154702,0.9188003219534872,0.9874164629052598
MLB_DEBUT,6,joint_small_xcal,35279,3063,0.5463795071931702,0.9183901985139324,1.0004600509528958
MLB_DEBUT,6,mcw100,35279,3063,0.5500411284544556,0.918989731692726,0.9838291700154669
MLB_DEBUT,6,mcw100_xcal,35279,3063,0.5472058692762252,0.918558276159268,0.9996601376352666
MLB_DEBUT,6,mcw20,35279,3063,0.5455940982139764,0.9185835351825715,0.9613049043925649
MLB_DEBUT,6,mcw20_xcal,35279,3063,0.5430258612088509,0.9182259363238721,1.0003014431911543
MLB_DEBUT,6,mcw5,35279,3063,0.5468044207820408,0.9184253483323187,0.9470984419230694
MLB_DEBUT,6,mcw5_xcal,35279,3063,0.5439276476311689,0.9180580461577464,0.9998336858569966
MLB_DEBUT,6,mcw1,35279,3063,0.5497574596281173,0.9183342638382559,0.9481586769218348
MLB_DEBUT,6,mcw1_xcal,35279,3063,0.5465335324823469,0.9180170591488193,0.999833534942832
