event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
MLB_DEBUT,6,0.5-1.0%,0.5,1,17,7,0.411765,0.0172576,23.8599,0.390084,0.564343,0.453884
MLB_DEBUT,6,1.0-1.5%,1,1.5,17,3,0.176471,0.0172576,10.2257,0.302656,0.390084,0.346319
MLB_DEBUT,6,1.5-2.0%,1.5,2,17,5,0.294118,0.0172576,17.0428,0.23965,0.302656,0.270605
MLB_DEBUT,6,2-3%,2,3,33,4,0.121212,0.0172576,7.02369,0.183709,0.23965,0.210756
MLB_DEBUT,6,3-4%,3,4,33,4,0.121212,0.0172576,7.02369,0.133451,0.183709,0.160687
MLB_DEBUT,6,4-5%,4,5,33,4,0.121212,0.0172576,7.02369,0.0960744,0.133451,0.116453
MLB_DEBUT,6,5-10%,5,10,160,9,0.05625,0.0172576,3.25943,0.0322254,0.0960744,0.0563867
MLB_DEBUT,6,10-20%,10,20,320,6,0.01875,0.0172576,1.08648,0.00693344,0.0322254,0.0148651
MLB_DEBUT,6,20-50%,20,50,957,4,0.00417973,0.0172576,0.242196,0.00107117,0.00693344,0.00260896
MLB_DEBUT,6,bottom 50%,50,100,1594,0,0,0.0172576,0,0.000212758,0.00107117,0.00063476
MLB_DEBUT,7,0.0-0.5%,0,0.5,15,6,0.4,0.00974462,41.0483,0.319671,0.527508,0.389185
MLB_DEBUT,7,0.5-1.0%,0.5,1,16,4,0.25,0.00974462,25.6552,0.209276,0.319671,0.245825
MLB_DEBUT,7,1.0-1.5%,1,1.5,16,0,0,0.00974462,0,0.15309,0.209276,0.175344
MLB_DEBUT,7,1.5-2.0%,1.5,2,16,1,0.0625,0.00974462,6.41379,0.130151,0.15309,0.142907
MLB_DEBUT,7,2-3%,2,3,31,3,0.0967742,0.00974462,9.93103,0.0832533,0.130151,0.100382
MLB_DEBUT,7,3-4%,3,4,31,2,0.0645161,0.00974462,6.62069,0.0585144,0.0832533,0.0710882
MLB_DEBUT,7,4-5%,4,5,30,3,0.1,0.00974462,10.2621,0.0431118,0.0585144,0.0502415
MLB_DEBUT,7,5-10%,5,10,150,5,0.0333333,0.00974462,3.42069,0.0130963,0.0431118,0.0242273
MLB_DEBUT,7,10-20%,10,20,299,5,0.0167224,0.00974462,1.71607,0.00348857,0.0130963,0.00637464
MLB_DEBUT,7,20-50%,20,50,893,1,0.00111982,0.00974462,0.114917,0.000820427,0.00348857,0.00152043
MLB_DEBUT,7,bottom 50%,50,100,1488,0,0,0.00974462,0,0.000184423,0.00081996,0.000474173
MLB_DEBUT,8,0.0-0.5%,0,0.5,14,4,0.285714,0.00575954,49.6071,0.168284,0.568762,0.260742
MLB_DEBUT,8,0.5-1.0%,0.5,1,15,3,0.2,0.00575954,34.725,0.101944,0.168284,0.137279
MLB_DEBUT,8,1.0-1.5%,1,1.5,15,0,0,0.00575954,0,0.081431,0.101944,0.0903713
MLB_DEBUT,8,1.5-2.0%,1.5,2,15,2,0.133333,0.00575954,23.15,0.0612314,0.081431,0.0691366
MLB_DEBUT,8,2-3%,2,3,29,0,0,0.00575954,0,0.0396477,0.0612314,0.0492809
MLB_DEBUT,8,3-4%,3,4,29,0,0,0.00575954,0,0.0282828,0.0396477,0.0329753
MLB_DEBUT,8,4-5%,4,5,28,0,0,0.00575954,0,0.0215526,0.0282828,0.0241467
MLB_DEBUT,8,5-10%,5,10,140,3,0.0214286,0.00575954,3.72054,0.00606076,0.0215526,0.0112234
MLB_DEBUT,8,10-20%,10,20,279,3,0.0107527,0.00575954,1.86694,0.00214767,0.00606076,0.00366131
MLB_DEBUT,8,20-50%,20,50,834,1,0.00119904,0.00575954,0.208183,0.000606765,0.00214767,0.001038
MLB_DEBUT,8,bottom 50%,50,100,1389,0,0,0.00575954,0,0.000163555,0.000606449,0.000367598
MLB_DEBUT,9,0.0-0.5%,0,0.5,14,4,0.285714,0.00307456,92.9286,0.0920741,0.430857,0.163956
MLB_DEBUT,9,0.5-1.0%,0.5,1,14,0,0,0.00307456,0,0.0586015,0.0920741,0.0701911
MLB_DEBUT,9,1.0-1.5%,1,1.5,14,0,0,0.00307456,0,0.0471427,0.0586015,0.0516949
MLB_DEBUT,9,1.5-2.0%,1.5,2,14,0,0,0.00307456,0,0.0342524,0.0471427,0.0403841
MLB_DEBUT,9,2-3%,2,3,27,0,0,0.00307456,0,0.024498,0.0342524,0.0281983
MLB_DEBUT,9,3-4%,3,4,27,0,0,0.00307456,0,0.016027,0.024498,0.0193399
MLB_DEBUT,9,4-5%,4,5,27,2,0.0740741,0.00307456,24.0926,0.0129519,0.016027,0.0144404
MLB_DEBUT,9,5-10%,5,10,131,0,0,0.00307456,0,0.00381427,0.0129519,0.00666197
MLB_DEBUT,9,10-20%,10,20,261,1,0.00383142,0.00307456,1.24617,0.00155453,0.00381427,0.00248028
MLB_DEBUT,9,20-50%,20,50,781,1,0.00128041,0.00307456,0.416453,0.000504,0.00155453,0.000828801
MLB_DEBUT,9,bottom 50%,50,100,1301,0,0,0.00307456,0,0.000157146,0.000503787,0.000326607
MLB_DEBUT,10,0.0-0.5%,0,0.5,13,1,0.0769231,0.00124121,61.9744,0.0672434,0.29566,0.127823
MLB_DEBUT,10,0.5-1.0%,0.5,1,13,0,0,0.00124121,0,0.0432904,0.0672434,0.0549741
MLB_DEBUT,10,1.0-1.5%,1,1.5,13,0,0,0.00124121,0,0.0345839,0.0432904,0.0383926
MLB_DEBUT,10,1.5-2.0%,1.5,2,13,0,0,0.00124121,0,0.0242355,0.0345839,0.028736
MLB_DEBUT,10,2-3%,2,3,25,0,0,0.00124121,0,0.0183192,0.0242355,0.0208518
MLB_DEBUT,10,3-4%,3,4,25,0,0,0.00124121,0,0.0127397,0.0183192,0.0151186
MLB_DEBUT,10,4-5%,4,5,25,1,0.04,0.00124121,32.2267,0.00884539,0.0127397,0.0103712
MLB_DEBUT,10,5-10%,5,10,122,0,0,0.00124121,0,0.00315377,0.00884539,0.00521263
MLB_DEBUT,10,10-20%,10,20,243,0,0,0.00124121,0,0.00122186,0.00315377,0.00199774
MLB_DEBUT,10,20-50%,20,50,726,1,0.00137741,0.00124121,1.10973,0.000472854,0.00122186,0.000727574
MLB_DEBUT,10,bottom 50%,50,100,1209,0,0,0.00124121,0,0.000156775,0.000472854,0.000306977
