snap_offset,bucket,event,target_rate,score_threshold,k,realized,rate,base_rate,lift,pct_of_cohort,achievable
2,R4-R10,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.010752688172043012,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.05,4.684568692157493,20,1,0.05,0.001702127659574468,29.375000000000004,0.01702127659574468,True
2,R10+,TOP_100_PROSPECT,0.1,5.293535894594092,10,1,0.1,0.001702127659574468,58.75000000000001,0.00851063829787234,True
2,R10+,TOP_100_PROSPECT,0.25,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.5,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.001702127659574468,nan,nan,False
2,R10+,MLB_DEBUT,0.05,-0.12476463672951171,1176,79,0.06717687074829932,0.06717687074829932,1.0,1.0,True
2,R10+,MLB_DEBUT,0.1,0.203179435555082,740,74,0.1,0.06717687074829932,1.4886075949367088,0.6292517006802721,True
2,R10+,MLB_DEBUT,0.25,1.1796165304658015,272,68,0.25,0.06717687074829932,3.721518987341772,0.23129251700680273,True
2,R10+,MLB_DEBUT,0.5,2.64430034092745,84,42,0.5,0.06717687074829932,7.443037974683544,0.07142857142857142,True
2,R10+,MLB_DEBUT,0.75,5.56623383545733,10,8,0.8,0.06717687074829932,11.90886075949367,0.008503401360544218,True
2,R10+,ESTABLISHED_MLB,0.05,1.819775897508394,160,8,0.05,0.007653061224489796,6.533333333333334,0.1360544217687075,True
2,R10+,ESTABLISHED_MLB,0.1,4.698095603205964,20,2,0.1,0.007653061224489796,13.066666666666668,0.017006802721088437,True
2,R10+,ESTABLISHED_MLB,0.25,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.007653061224489796,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.05,4.698095603205964,20,1,0.05,0.002551020408163265,19.6,0.017006802721088437,True
2,R10+,STAR_PLUS_ELITE,0.1,5.56623383545733,10,1,0.1,0.002551020408163265,39.2,0.008503401360544218,True
2,R10+,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,R10+,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.002551020408163265,nan,nan,False
2,IFA,TOP_100_PROSPECT,0.05,1.9522528900555132,180,9,0.05,0.007076755579749592,7.065384615384616,0.0979858464888405,True
2,IFA,TOP_100_PROSPECT,0.1,3.7136194293027067,80,8,0.1,0.007076755579749592,14.130769230769232,0.043549265106151334,True
2,IFA,TOP_100_PROSPECT,0.25,5.4719900780514115,32,8,0.25,0.007076755579749592,35.32692307692308,0.017419706042460535,True
2,IFA,TOP_100_PROSPECT,0.5,6.836675454628271,12,6,0.5,0.007076755579749592,70.65384615384616,0.0065323897659227,True
2,IFA,TOP_100_PROSPECT,0.75,nan,0,0,nan,0.007076755579749592,nan,nan,False
2,IFA,MLB_DEBUT,0.05,-0.5165441371660486,1848,133,0.07196969696969698,0.07196969696969698,1.0,1.0,True
2,IFA,MLB_DEBUT,0.1,0.12370730364442692,1330,133,0.1,0.07196969696969698,1.3894736842105262,0.7196969696969697,True
2,IFA,MLB_DEBUT,0.25,0.7514803362163185,488,122,0.25,0.07196969696969698,3.4736842105263155,0.26406926406926406,True
2,IFA,MLB_DEBUT,0.5,2.168933097247809,170,85,0.5,0.07196969696969698,6.947368421052631,0.09199134199134198,True
2,IFA,MLB_DEBUT,0.75,4.66842871338248,56,42,0.75,0.07196969696969698,10.421052631578947,0.030303030303030304,True
2,IFA,ESTABLISHED_MLB,0.05,0.917593704037319,420,21,0.05,0.011904761904761904,4.2,0.22727272727272727,True
2,IFA,ESTABLISHED_MLB,0.1,1.959260573874103,190,19,0.1,0.011904761904761904,8.4,0.10281385281385282,True
2,IFA,ESTABLISHED_MLB,0.25,5.174190550249073,44,11,0.25,0.011904761904761904,21.0,0.023809523809523808,True
2,IFA,ESTABLISHED_MLB,0.5,nan,0,0,nan,0.011904761904761904,nan,nan,False
2,IFA,ESTABLISHED_MLB,0.75,nan,0,0,nan,0.011904761904761904,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.05,4.093966568103621,80,4,0.05,0.003787878787878788,13.200000000000001,0.04329004329004329,True
2,IFA,STAR_PLUS_ELITE,0.1,5.462229905805416,40,4,0.1,0.003787878787878788,26.400000000000002,0.021645021645021644,True
2,IFA,STAR_PLUS_ELITE,0.25,nan,0,0,nan,0.003787878787878788,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.5,nan,0,0,nan,0.003787878787878788,nan,nan,False
2,IFA,STAR_PLUS_ELITE,0.75,nan,0,0,nan,0.003787878787878788,nan,nan,False
