event,yip,slab,slab_lo,slab_hi,n,tp,rate,base_rate,lift,score_lo,score_hi,score_mean
ESTABLISHED_MLB,5,0.0-0.5%,0.0,0.5,16,4,0.25,0.0018726591760299626,133.5,0.10492900758981705,0.6709295511245728,0.24504776298999786
ESTABLISHED_MLB,5,0.5-1.0%,0.5,1.0,16,1,0.0625,0.0018726591760299626,33.375,0.04982215166091919,0.10109150409698486,0.06774280965328217
ESTABLISHED_MLB,5,1.0-1.5%,1.0,1.5,16,0,0.0,0.0018726591760299626,0.0,0.02295188046991825,0.04412922263145447,0.03261590749025345
ESTABLISHED_MLB,5,1.5-2.0%,1.5,2.0,16,0,0.0,0.0018726591760299626,0.0,0.013134553097188473,0.022254880517721176,0.016544567421078682
ESTABLISHED_MLB,5,2-3%,2.0,3.0,32,0,0.0,0.0018726591760299626,0.0,0.006470907479524612,0.013082175515592098,0.009354276582598686
ESTABLISHED_MLB,5,3-4%,3.0,4.0,32,0,0.0,0.0018726591760299626,0.0,0.004557063337415457,0.006397673860192299,0.005345682613551617
ESTABLISHED_MLB,5,4-5%,4.0,5.0,32,1,0.03125,0.0018726591760299626,16.6875,0.003150910371914506,0.004544692113995552,0.003678990760818124
ESTABLISHED_MLB,5,5-10%,5.0,10.0,160,0,0.0,0.0018726591760299626,0.0,0.0013056483585387468,0.003112558973953128,0.0019937169272452593
ESTABLISHED_MLB,5,10-20%,10.0,20.0,321,0,0.0,0.0018726591760299626,0.0,0.0004410895053297281,0.0013055152958258986,0.0007499523344449699
ESTABLISHED_MLB,5,20-50%,20.0,50.0,961,0,0.0,0.0018726591760299626,0.0,0.00024064263561740518,0.00044080137740820646,0.00029249940416775644
ESTABLISHED_MLB,5,bottom 50%,50.0,100.0,1602,0,0.0,0.0018726591760299626,0.0,0.00010305493196938187,0.0002406300336588174,0.00018463186279404908
ESTABLISHED_MLB,6,0.0-0.5%,0.0,0.5,16,3,0.1875,0.0009463722397476341,198.125,0.030836505815386772,0.47302502393722534,0.13396666944026947
ESTABLISHED_MLB,6,0.5-1.0%,0.5,1.0,16,0,0.0,0.0009463722397476341,0.0,0.01364347618073225,0.02933516353368759,0.018522867932915688
ESTABLISHED_MLB,6,1.0-1.5%,1.0,1.5,16,0,0.0,0.0009463722397476341,0.0,0.009370986372232437,0.013557231985032558,0.011570420116186142
ESTABLISHED_MLB,6,1.5-2.0%,1.5,2.0,15,0,0.0,0.0009463722397476341,0.0,0.007155765313655138,0.00908889714628458,0.007848414592444897
ESTABLISHED_MLB,6,2-3%,2.0,3.0,32,0,0.0,0.0009463722397476341,0.0,0.0037616360932588577,0.006838985253125429,0.0049860733561217785
ESTABLISHED_MLB,6,3-4%,3.0,4.0,32,0,0.0,0.0009463722397476341,0.0,0.0029328414238989353,0.003746327944099903,0.0032642921432852745
ESTABLISHED_MLB,6,4-5%,4.0,5.0,31,0,0.0,0.0009463722397476341,0.0,0.002389201894402504,0.0028993450105190277,0.0025980740319937468
ESTABLISHED_MLB,6,5-10%,5.0,10.0,159,0,0.0,0.0009463722397476341,0.0,0.0010229147737845778,0.0023870719596743584,0.0015458236448466778
ESTABLISHED_MLB,6,10-20%,10.0,20.0,317,0,0.0,0.0009463722397476341,0.0,0.00037973825237713754,0.0010176203213632107,0.0006201455835253
ESTABLISHED_MLB,6,20-50%,20.0,50.0,951,0,0.0,0.0009463722397476341,0.0,0.0002118237316608429,0.0003777614329010248,0.0002587099152151495
ESTABLISHED_MLB,6,bottom 50%,50.0,100.0,1585,0,0.0,0.0009463722397476341,0.0,9.952823165804148e-05,0.00021168544481042773,0.00016631215112283826
ESTABLISHED_MLB,7,0.0-0.5%,0.0,0.5,15,1,0.06666666666666667,0.0003372681281618887,197.66666666666666,0.016815271228551865,0.15596991777420044,0.04327797889709473
ESTABLISHED_MLB,7,0.5-1.0%,0.5,1.0,15,0,0.0,0.0003372681281618887,0.0,0.008545195683836937,0.016775459051132202,0.012168187648057938
ESTABLISHED_MLB,7,1.0-1.5%,1.0,1.5,14,0,0.0,0.0003372681281618887,0.0,0.004673839081078768,0.00832571741193533,0.006185181438922882
ESTABLISHED_MLB,7,1.5-2.0%,1.5,2.0,15,0,0.0,0.0003372681281618887,0.0,0.00380517914891243,0.004483191296458244,0.00415026443079114
ESTABLISHED_MLB,7,2-3%,2.0,3.0,30,0,0.0,0.0003372681281618887,0.0,0.0026879687793552876,0.003801448503509164,0.003065364668145776
ESTABLISHED_MLB,7,3-4%,3.0,4.0,30,0,0.0,0.0003372681281618887,0.0,0.00220575206913054,0.0026857403572648764,0.002423628931865096
ESTABLISHED_MLB,7,4-5%,4.0,5.0,29,0,0.0,0.0003372681281618887,0.0,0.0018034144304692745,0.0022024863865226507,0.0020175077952444553
ESTABLISHED_MLB,7,5-10%,5.0,10.0,148,0,0.0,0.0003372681281618887,0.0,0.000907081994228065,0.001797461067326367,0.0012915756087750196
ESTABLISHED_MLB,7,10-20%,10.0,20.0,297,0,0.0,0.0003372681281618887,0.0,0.00034254774800501764,0.0009064327459782362,0.0005660298629663885
ESTABLISHED_MLB,7,20-50%,20.0,50.0,889,0,0.0,0.0003372681281618887,0.0,0.0001883826043922454,0.0003419368003960699,0.00023171704378910363
