event,snap_offset,mean_fwd_years,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
MLB_DEBUT,7,7.6885403329065305,3124,39,0.012483994878361075,0.06940058561905772,0.9216972114865145,0.8654432782299074,0.9631198762364537,0.021194148207603805,-0.7191676961121358,0.056916590740696646,0.0,28.42349048800662,0.28205128205128205,31,10.783037475345168,0.5384615384615384,156,7.702169625246549,0.7692307692307693,312
MLB_DEBUT,8,7.26401384083045,2890,19,0.00657439446366782,0.06727647299573582,0.8947551742470072,0.7750802479441973,0.9633576037499695,0.018631305230439908,-1.8526741904555006,0.060702078532067986,0.0,26.22504537205082,0.2631578947368421,29,11.619152046783627,0.5789473684210527,144,6.842105263157895,0.6842105263157895,289
MLB_DEBUT,9,6.766407119021134,2697,12,0.004449388209121246,0.066685292768847,0.8853196772191185,0.7358208158153583,0.9802425873831242,0.01721760524303528,-2.8869513338062465,0.062349885778107246,0.0,33.2962962962963,0.3333333333333333,27,11.653703703703703,0.5833333333333334,135,7.491666666666666,0.75,270
MLB_DEBUT,10,6.292233787029624,2498,7,0.0028022417934347476,0.07063800524259368,0.812238343751792,0.542951993414924,0.9779916647833838,0.018856765624698367,-5.748081259688036,0.0679694688474304,0.0,28.54857142857143,0.2857142857142857,25,8.56457142857143,0.42857142857142855,125,4.282285714285715,0.42857142857142855,250
ESTABLISHED_MLB,0,14.638303927148549,3514,101,0.028742174160500854,0.00766655828674223,0.843820801652389,0.817111348395527,0.8706079831988032,0.028621692934585725,-0.02527689471554484,0.027891412888865243,0.0,4.97029702970297,0.04950495049504951,35,2.1745049504950495,0.10891089108910891,176,3.7666638458717667,0.37623762376237624,351
ESTABLISHED_MLB,1,13.605331040412725,3489,88,0.02522212668386357,0.006631080874548529,0.8445109727085617,0.8235202214434142,0.8649914357843492,0.025719077972569348,-0.04608754166061235,0.025015342659906153,0.0,1.1327922077922077,0.011363636363636364,35,1.5950235109717867,0.07954545454545454,174,2.158472258400625,0.2159090909090909,349
ESTABLISHED_MLB,2,12.585887796414113,3458,75,0.021688837478311164,0.011027746614652372,0.8359128978224455,0.798328122232332,0.8678239311134256,0.021014721589137142,0.009600625525246542,0.018054246942542276,1.190825216212943e-12,10.538666666666666,0.10666666666666667,35,5.330250481695568,0.26666666666666666,173,3.731175337186898,0.37333333333333335,346
ESTABLISHED_MLB,3,11.579273693534102,3387,50,0.014762326542663124,0.01773044791446876,0.8774228348816302,0.8443843058750066,0.906373282592925,0.016308517715674695,-0.12129186674634584,0.014555156809164195,0.11079825973138857,15.938823529411765,0.16,34,6.814082840236686,0.34,169,4.79575221238938,0.48,339
ESTABLISHED_MLB,4,10.59629404617254,3292,22,0.006682867557715674,0.016858829680144235,0.8996663886572143,0.8451396997497915,0.945009490823098,0.009002845100521555,-0.35621641792408476,0.010175962122428562,1.7808421270970598e-07,22.672176308539946,0.22727272727272727,33,9.068870523415978,0.45454545454545453,165,6.3675048355899415,0.6363636363636364,329
ESTABLISHED_MLB,5,9.634321372854915,3205,7,0.00218408736349454,0.016172830241849453,0.9339319217367997,0.8962216138747476,0.9732079588922161,0.0048817177013142045,-1.2400217220960439,0.014281171361047446,2.667643883569326e-12,14.308035714285714,0.14285714285714285,32,8.584821428571427,0.42857142857142855,160,7.154017857142857,0.7142857142857143,320
ESTABLISHED_MLB,6,8.653054764165875,3159,4,0.0012662234884457107,0.014653737440322235,0.9766244057052298,0.9193754723010659,0.9976192129938823,0.0030115350347170427,-1.3813751468134807,0.013387513951876524,1.0389022975232365e-11,74.0390625,0.75,32,14.995253164556962,0.75,158,9.996835443037975,1.0,316
ESTABLISHED_MLB,7,7.6885403329065305,3124,1,0.0003201024327784891,0.013270120946789907,0.835094460454691,0.8232468780019212,0.8484945547725817,0.0019822367956840786,-5.194490621234742,0.012950018514011421,1.7999823853642738e-11,0.0,0.0,31,0.0,0.0,156,0.0,0.0,312
