event,bucket,snap_offset,n,pos,base_rate,pred_mean,auc,auc_lo,auc_hi,brier,brier_skill,ece,spiegelhalter_p,lift@1%,recall@1%,k@1%,lift@5%,recall@5%,k@5%,lift@10%,recall@10%,k@10%
MLB_DEBUT,IFA,2,1848,133,0.07196969696969698,0.043155225452974136,0.8290405313575484,0.7904909537669454,0.8632018855010548,0.056507668233124746,0.15395092477425087,0.03781169726210788,8.881784197001252e-16,10.035087719298245,0.09774436090225563,18,6.947368421052631,0.3458646616541353,92,4.957041251778094,0.49624060150375937,185
ESTABLISHED_MLB,ALL,2,3458,75,0.021688837478311164,0.011027746614652372,0.8359128978224455,0.798328122232332,0.8678239311134256,0.021014721589137142,0.009600625525246542,0.018054246942542276,1.190825216212943e-12,10.538666666666666,0.10666666666666667,35,5.330250481695568,0.26666666666666666,173,3.731175337186898,0.37333333333333335,346
ESTABLISHED_MLB,R1,2,57,13,0.22807017543859648,0.078240291690029,0.798951048951049,0.6403871158392436,0.9177377972465581,0.15433891670636607,0.12334416017660255,0.16026431519605222,5.903588728983777e-11,4.384615384615385,0.07692307692307693,1,4.384615384615385,0.23076923076923078,3,2.923076923076923,0.3076923076923077,6
ESTABLISHED_MLB,R2-R3,2,98,16,0.16326530612244897,0.03570338249233477,0.7233231707317074,0.5794886363636365,0.8475572721538344,0.13660048610849,6.778308998645066e-05,0.13886449275260418,2.708944180085382e-14,6.125000000000001,0.0625,1,4.9,0.25,5,3.0625000000000004,0.3125,10
ESTABLISHED_MLB,R4-R10,2,279,15,0.053763440860215055,0.014878295733465054,0.7621212121212122,0.6171094341451283,0.8878987579223429,0.04883395948023501,0.04007973739874415,0.04405341205474928,5.4075854905022425e-11,6.199999999999999,0.06666666666666667,3,3.9857142857142853,0.2,14,3.3214285714285716,0.3333333333333333,28
ESTABLISHED_MLB,R10+,2,1176,9,0.007653061224489796,0.0023459394835867024,0.8646101113967437,0.668031672955883,0.9656379409386445,0.007655931487258112,-0.008090022329074742,0.007326834093935343,6.394465037828923e-05,21.77777777777778,0.2222222222222222,12,8.858757062146893,0.4444444444444444,59,6.64406779661017,0.6666666666666666,118
ESTABLISHED_MLB,IFA,2,1848,22,0.011904761904761904,0.012589529405061002,0.7492532111918749,0.690140805177001,0.7968864202674043,0.015073967121396237,-0.28146881938038404,0.014903357191157067,0.7612055998695562,0.0,0.0,18,0.0,0.0,92,0.0,0.0,185
STAR_PLUS_ELITE,ALL,2,3458,20,0.00578368999421631,0.006708502525269245,0.8579842931937173,0.7724974428718737,0.9347631609579209,0.005654636336427745,0.01662584617760965,0.0016998012634258323,0.46665868994177817,34.580000000000005,0.35,35,7.995375722543352,0.4,173,3.997687861271676,0.4,346
STAR_PLUS_ELITE,R1,2,57,5,0.08771929824561403,0.05833439756031949,0.7961538461538462,0.5609415820029028,1.0,0.05978794127221842,0.25288068771754757,0.0709154867043815,0.21687488484856798,11.4,0.2,1,7.6,0.4,3,5.7,0.6,6
STAR_PLUS_ELITE,R2-R3,2,98,2,0.02040816326530612,0.022881217301276575,0.875,0.7300042955326461,1.0,0.019211846488986193,0.03900742874883667,0.012507035109651253,0.8661967858718302,0.0,0.0,1,9.8,0.5,5,4.9,0.5,10
STAR_PLUS_ELITE,R4-R10,2,279,3,0.010752688172043012,0.012976365463340687,0.9855072463768116,0.9660996442212106,0.9964028776978417,0.009806219952992698,0.07810873507137128,0.015288451584666818,0.7202370742033961,0.0,0.0,3,19.928571428571427,1.0,14,9.964285714285714,1.0,28
STAR_PLUS_ELITE,R10+,2,1176,3,0.002551020408163265,0.0038175028956321504,0.8161409491332766,0.6230628148899924,0.9523079488201819,0.00301836327402771,-0.18622448629205612,0.0012664824874688847,0.45148645823240297,0.0,0.0,12,0.0,0.0,59,3.322033898305085,0.3333333333333333,118
