========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17h.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  R10+         95-99%    47    0   0.0%   0.00    -0.069    -0.057     -0.062
  R10+        99-100%    12    0   0.0%   0.00    -0.124    -0.069     -0.095
  IFA           0-10%   184    3   1.6%   2.30    +0.671    +8.182     +2.272
  IFA          10-20%   183    3   1.6%   2.32    +0.198    +0.661     +0.382
  IFA          20-30%   184    2   1.1%   1.54    +0.117    +0.196     +0.142
  IFA          30-40%   184    0   0.0%   0.00    +0.107    +0.117     +0.113
  IFA          40-50%   183    4   2.2%   3.09    +0.086    +0.107     +0.092
  IFA          50-60%   184    0   0.0%   0.00    +0.076    +0.086     +0.083
  IFA          60-70%   184    0   0.0%   0.00    +0.055    +0.076     +0.061
  IFA          70-80%   184    0   0.0%   0.00    +0.026    +0.055     +0.043
  IFA          80-90%   183    1   0.5%   0.77    -0.021    +0.026     +0.010
  IFA          90-95%    92    0   0.0%   0.00    -0.057    -0.021     -0.037
  IFA          95-99%    74    0   0.0%   0.00    -0.263    -0.057     -0.104
  IFA         99-100%    18    0   0.0%   0.00    -0.469    -0.272     -0.368

--- event: MLB_DEBUT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  ALL           0-10%   346  177  51.2%   4.85    +1.673    +9.395     +4.672
  ALL          10-20%   346   81  23.4%   2.22    +0.485    +1.667     +0.933
  ALL          20-30%   345   40  11.6%   1.10    +0.200    +0.484     +0.325
  ALL          30-40%   346   30   8.7%   0.82    +0.116    +0.200     +0.147
  ALL          40-50%   346   12   3.5%   0.33    +0.089    +0.116     +0.105
  ALL          50-60%   346    5   1.4%   0.14    +0.081    +0.089     +0.084
  ALL          60-70%   346    5   1.4%   0.14    +0.053    +0.081     +0.062
  ALL          70-80%   345    6   1.7%   0.16    +0.025    +0.053     +0.042
  ALL          80-90%   346    5   1.4%   0.14    -0.021    +0.025     +0.005
  ALL          90-95%   173    2   1.2%   0.11    -0.053    -0.021     -0.035
  ALL          95-99%   138    2   1.4%   0.14    -0.124    -0.054     -0.070
  ALL         99-100%    35    0   0.0%   0.00    -0.469    -0.138     -0.285
  R1            0-10%     6    4  66.7%   1.15    +8.618    +9.395     +8.918
  R1           10-20%     5    5 100.0%   1.73    +8.119    +8.410     +8.293
  R1           20-30%     6    5  83.3%   1.44    +7.347    +7.970     +7.641
  R1           30-40%     6    6 100.0%   1.73    +4.896    +7.311     +5.927
  R1           40-50%     5    4  80.0%   1.38    +3.458    +4.735     +3.790
  R1           50-60%     6    2  33.3%   0.58    +1.829    +3.263     +2.262
  R1           60-70%     6    3  50.0%   0.86    +1.092    +1.799     +1.446
  R1           70-80%     6    4  66.7%   1.15    +0.578    +1.046     +0.884
  R1           80-90%     5    0   0.0%   0.00    +0.234    +0.415     +0.307
  R1           90-95%     3    0   0.0%   0.00    +0.189    +0.227     +0.206
  R1           95-99%     2    0   0.0%   0.00    +0.110    +0.141     +0.125
  R1          99-100%     1    0   0.0%   0.00    +0.091    +0.091     +0.091
  R2-R3         0-10%    10    8  80.0%   1.40    +7.858    +9.359     +8.273
  R2-R3        10-20%    10   10 100.0%   1.75    +7.380    +7.833     +7.645
  R2-R3        20-30%     9    8  88.9%   1.56    +5.851    +7.212     +6.469
  R2-R3        30-40%    10    6  60.0%   1.05    +4.828    +5.782     +5.269
  R2-R3        40-50%    10    7  70.0%   1.23    +3.585    +4.665     +4.192
  R2-R3        50-60%    10    5  50.0%   0.88    +1.736    +3.454     +2.302
  R2-R3        60-70%    10    4  40.0%   0.70    +0.987    +1.656     +1.264
  R2-R3        70-80%     9    3  33.3%   0.58    +0.393    +0.902     +0.605
  R2-R3        80-90%    10    3  30.0%   0.53    +0.181    +0.380     +0.296
  R2-R3        90-95%     5    1  20.0%   0.35    +0.123    +0.158     +0.145
  R2-R3        95-99%     4    1  25.0%   0.44    +0.074    +0.105     +0.091
  R2-R3       99-100%     1    0   0.0%   0.00    +0.035    +0.035     +0.035
  R4-R10        0-10%    28   14  50.0%   2.18    +6.663    +9.251     +7.656
  R4-R10       10-20%    28   14  50.0%   2.18    +2.946    +6.537     +4.292
  R4-R10       20-30%    28   12  42.9%   1.87    +1.549    +2.890     +2.209
  R4-R10       30-40%    28    6  21.4%   0.93    +1.014    +1.544     +1.214
  R4-R10       40-50%    28    4  14.3%   0.62    +0.642    +0.997     +0.800
  R4-R10       50-60%    27    2   7.4%   0.32    +0.361    +0.636     +0.471
  R4-R10       60-70%    28    3  10.7%   0.47    +0.245    +0.358     +0.301
  R4-R10       70-80%    28    5  17.9%   0.78    +0.143    +0.240     +0.184
  R4-R10       80-90%    28    3  10.7%   0.47    +0.068    +0.143     +0.102
  R4-R10       90-95%    14    1   7.1%   0.31    +0.033    +0.067     +0.053
  R4-R10       95-99%    11    0   0.0%   0.00    -0.047    +0.029     -0.005
  R4-R10      99-100%     3    0   0.0%   0.00    -0.089    -0.053     -0.075
  R10+          0-10%   118   37  31.4%   4.67    +0.899    +8.691     +3.012
