========================================================================================
DEBUT LASSO -> OUTCOME REPORT
========================================================================================
lasso model: models/debut_lasso_universe_v1.17_prod.pkl
snap_offset evaluated: 2
buckets: ALL, R1, R2-R3, R4-R10, R10+, IFA
events: TOP_100_PROSPECT, MLB_DEBUT, ESTABLISHED_MLB, STAR_PLUS_ELITE

CURVE: per (bucket, event), realized rate by lasso-score percentile band
       (bands are within-cohort percentiles; top-of-list first)

--- event: TOP_100_PROSPECT ---
  bucket         band     n  pos   rate   lift  score_lo  score_hi score_mean
  bucket    target   score>=     k  pos   rate   lift  %cohort
  ALL           5%    -1.059  3458  365  10.6%   1.00  100.00%
  ALL          10%    -1.059  3458  365  10.6%   1.00  100.00%
  ALL          25%    +0.070  1296  324  25.0%   2.37   37.48%
  ALL          50%    +1.228   432  216  50.0%   4.74   12.49%
  ALL          75%    +7.278   100   75  75.0%   7.11    2.89%
  R1            5%    +0.055    57   33  57.9%   1.00  100.00%
  R1           10%    +0.055    57   33  57.9%   1.00  100.00%
  R1           25%    +0.055    57   33  57.9%   1.00  100.00%
  R1           50%    +0.055    57   33  57.9%   1.00  100.00%
  R1           75%    +1.330    40   30  75.0%   1.30   70.18%
  R2-R3         5%    -0.012    98   56  57.1%   1.00  100.00%
  R2-R3        10%    -0.012    98   56  57.1%   1.00  100.00%
  R2-R3        25%    -0.012    98   56  57.1%   1.00  100.00%
  R2-R3        50%    -0.012    98   56  57.1%   1.00  100.00%
  R2-R3        75%    +2.126    61   46  75.4%   1.32   62.24%
  R4-R10        5%    -0.113   279   64  22.9%   1.00  100.00%
  R4-R10       10%    -0.113   279   64  22.9%   1.00  100.00%
  R4-R10       25%    +0.017   256   64  25.0%   1.09   91.76%
  R4-R10       50%    +3.701    52   26  50.0%   2.18   18.64%
  R4-R10       75%         -     -    -      -      -        -
  R10+          5%    -0.144  1176   79   6.7%   1.00  100.00%
  R10+         10%    +0.006   760   76  10.0%   1.49   64.63%
  R10+         25%    +0.278   228   57  25.0%   3.72   19.39%
  R10+         50%    +3.289    42   21  50.0%   7.44    3.57%
  R10+         75%         -     -    -      -      -        -
  IFA           5%    -1.059  1848  133   7.2%   1.00  100.00%
  IFA          10%    +0.013  1230  123  10.0%   1.39   66.56%
  IFA          25%    +0.178   372   93  25.0%   3.47   20.13%
  IFA          50%    +1.526   106   53  50.0%   6.95    5.74%
  IFA          75%    +7.151    18   14  77.8%  10.81    0.97%

--- event: ESTABLISHED_MLB ---
  bucket    target   score>=     k  pos   rate   lift  %cohort
  ALL           5%    +0.061  1460   73   5.0%   2.31   42.22%
  ALL          10%    +0.520   650   65  10.0%   4.61   18.80%
  ALL          25%    +5.989   140   35  25.0%  11.53    4.05%
  ALL          50%    +9.336    14    7  50.0%  23.05    0.40%
  ALL          75%         -     -    -      -      -        -
  R1            5%    +0.055    57   13  22.8%   1.00  100.00%
  R1           10%    +0.055    57   13  22.8%   1.00  100.00%
  R1           25%    +0.165    52   13  25.0%   1.10   91.23%
  R1           50%         -     -    -      -      -        -
  R1           75%         -     -    -      -      -        -
  R2-R3         5%    -0.012    98   16  16.3%   1.00  100.00%
  R2-R3        10%    -0.012    98   16  16.3%   1.00  100.00%
  R2-R3        25%    +3.809    52   13  25.0%   1.53   53.06%
  R2-R3        50%    +8.460    14    7  50.0%   3.06   14.29%
  R2-R3        75%         -     -    -      -      -        -
  R4-R10        5%    -0.113   279   15   5.4%   1.00  100.00%
  R4-R10       10%    +0.623   130   13  10.0%   1.86   46.59%
  R4-R10       25%    +5.956    32    8  25.0%   4.65   11.47%
  R4-R10       50%         -     -    -      -      -        -
  R4-R10       75%         -     -    -      -      -        -
  R10+          5%    +0.535   160    8   5.0%   6.53   13.61%
  R10+         10%    +1.750    70    7  10.0%  13.07    5.95%
  R10+         25%         -     -    -      -      -        -
  R10+         50%         -     -    -      -      -        -
  R10+         75%         -     -    -      -      -        -
  IFA           5%    +0.167   380   19   5.0%   4.20   20.56%
  IFA          10%    +0.991   160   16  10.0%   8.40    8.66%
  IFA          25%         -     -    -      -      -        -
  IFA          50%         -     -    -      -      -        -
  IFA          75%         -     -    -      -      -        -

--- event: STAR_PLUS_ELITE ---
  bucket    target   score>=     k  pos   rate   lift  %cohort
  ALL           5%    +4.208   200   10   5.0%   8.65    5.78%
  ALL          10%    +7.496    90    9  10.0%  17.29    2.60%
  ALL          25%         -     -    -      -      -        -
  ALL          50%         -     -    -      -      -        -
  ALL          75%         -     -    -      -      -        -
  R1            5%    +0.055    57    5   8.8%   1.00  100.00%
  R1           10%    +0.228    50    5  10.0%   1.14   87.72%
  R1           25%         -     -    -      -      -        -
  R1           50%         -     -    -      -      -        -
