player_id,season_year,level,org,age_during_season,pa,avg,obp,slg,woba,iso,k_pct,bb_pct,babip,home_runs,stolen_bases,ip,era,fip,whip,k9,bb9,hr9,velo_avg,primary_position,stats_type,pulled_at
draft_2016_jim_haley_r19p570,2024,AAA,LHV,,313,0.249,0.313,0.4,,0.151,0.23961661341853036,0.06389776357827476,0.31,8,17,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2016_darick_hall_r14p407,2024,AAA,LHV,,488,0.236,0.32,0.387,,0.151,0.22745901639344263,0.10245901639344263,0.28,16,2,0.0,,,,,,,,1B,batting,2026-07-28T13:03:30
ifa_665922,2024,AAA,LHV,,240,0.235,0.297,0.373,,0.138,0.19583333333333333,0.07916666666666666,0.275,5,5,0.0,,,,,,,,CF,batting,2026-07-28T13:03:30
draft_2023_jared_thomas_r15p463,2024,AAA,LHV,,8,0.286,0.375,0.286,,0.0,0.625,0.125,1.0,0,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
draft_2015_ryan_mckenna_r4p133,2024,AAA,LHV,,98,0.19,0.296,0.345,,0.155,0.22448979591836735,0.11224489795918367,0.23,2,6,0.0,,,,,,,,CF,batting,2026-07-28T13:03:30
ifa_665561,2024,AAA,LHV,,141,0.229,0.34,0.297,,0.068,0.19858156028368795,0.1347517730496454,0.278,2,0,0.0,,,,,,,,C,batting,2026-07-28T13:03:30
ifa_666801,2024,AAA,LHV,,73,0.209,0.274,0.313,,0.104,0.2465753424657534,0.0684931506849315,0.255,2,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:30
ifa_805249,2024,AAA,LHV,,54,0.2,0.333,0.244,,0.044,0.3333333333333333,0.09259259259259259,0.333,0,1,0.0,,,,,,,,LF,batting,2026-07-28T13:03:30
draft_2016_austin_hays_r3p91,2024,AAA,LHV,,17,0.214,0.353,0.214,,0.0,0.35294117647058826,0.11764705882352941,0.375,0,0,0.0,,,,,,,,LF,batting,2026-07-28T13:03:30
ifa_606019,2024,AAA,LHV,,190,0.158,0.289,0.259,,0.101,0.2736842105263158,0.14210526315789473,0.202,4,1,0.0,,,,,,,,3B,batting,2026-07-28T13:03:30
draft_2019_trevor_schwecke_r13p387,2024,AAA,LHV,,65,0.214,0.302,0.232,,0.018,0.3384615384615385,0.1076923076923077,0.353,0,0,0.0,,,,,,,,SS,batting,2026-07-28T13:03:30
