llevel,mlevel,minorMasterId,playerName,playerNameRoute,UPURL,UPID,positionDB,playerTeamId,RPM,Vel,cRisk,cETA,cFV,cWeight,cHeight,cRank,cOVR,cORG,cTrend,cDraftSchool,Hit,Game,Raw,Spd,Fld,Arm,FB,SL,CB,CH,SPL,CT,CMD,cSeason,playerPageSortOrder,cCollegeCommit,ID,RowID,FirstName,LastName,Position,Age,Team,Season,Type,PlayerId,DraftRank,ProjTeam,Ovr_Rank,Org_Rank,FV_Current,Risk_Current,ETA_Current,Draft,CollegeCommit,Height,Weight,Bats,Throws,School,Summary,YouTube,pHit,fHit,pGame,fGame,pRaw,fRaw,pSpd,fSpd,pFld,fFld,pArm,fArm,pFB,fFB,pSL,fSL,pCB,fCB,pSPL,fSPL,pCMD,fCMD,bRPM,fRPM,Range,Touch,Variance,options,servicetime,pCH,fCH,pCT,fCT
,MLB,sa875374,Art Warren,Art Warren,/players/art-warren/18251/stats/pitching,18251,P,-1.0,,,,2018,40,230,"6' 3""",,,9,,Ashland,,,,,,,70 / 70,50 / 55,50 / 50,30 / 30,,,40 / 40,2018,0,,17282,9,Art,Warren,RHP,24,SEA,2018,2018 Report,18251,0,,0,9,40,0,2018,23rd rd 2015,,75,230,R,R,Ashland,,,,,,,,,,,,,,,70.0,70.0,50.0,55.0,50.0,50.0,,,40.0,40.0,0,0,,0,,1,1.146,30.0,30.0,,
,AA,sa875993,Matthias Dietz,Matthias Dietz,/players/matthias-dietz/sa875993/stats/pitching,sa875993,P,-1.0,,,,2020,40,220,"6' 5""",,,9,,Logan JC (IL),,,,,,,55 / 55,50 / 55,,45 / 50,,,40 / 50,2018,0,,17068,9,Matthias,Dietz,RHP,22,BAL,2018,2018 Report,sa875993,0,,0,9,40,0,2020,2nd rd 2016,,77,220,R,R,Logan JC (IL),,,,,,,,,,,,,,,55.0,55.0,50.0,55.0,,,,,40.0,50.0,0,0,,0,,R5,,45.0,50.0,,
,AA,sa3004142,Chris Seise,Chris Seise,/players/christopher-seise/sa3004142/stats/batting,sa3004142,3B/SS,-1.0,,,,2022,40,175,"6' 2""",,,9,,West Orange HS (FL),20 / 40,20 / 45,45 / 55,50 / 45,40 / 50,55 / 60,,,,,,,,2018,0,,17329,9,Chris,Seise,SS,19,TEX,2018,2018 Report,sa3004142,0,,0,9,40,0,2022,1st rd 2017,,74,175,R,R,West Orange HS (FL),,bB9NGkEjufw,20.0,40.0,20.0,45.0,45.0,55.0,50.0,45.0,40.0,50.0,55.0,60.0,,,,,,,,,,,0,0,,0,,R5,,,,,
,MLB,sa738524,Mike Shawaryn,Michael Shawaryn,/players/michael-shawaryn/19495/stats/pitching,19495,P,-1.0,,,,2019,40,225,"6' 3""",,,9,,Maryland,,,,,,,50 / 50,55 / 60,,50 / 55,,,45 / 50,2018,0,,17088,9,Mike,Shawaryn,RHP,23,BOS,2018,2018 Report,19495,0,,0,9,40,0,2019,5th rd 2016,,75,225,R,R,Maryland,,5fWiIrMG60g,,,,,,,,,,,,,50.0,50.0,55.0,60.0,,,,,45.0,50.0,0,0,,0,,1,0.058,50.0,55.0,,
,MLB,sa918018,Daniel Johnson,Daniel Johnson,/players/daniel-johnson/19643/stats/batting,19643,OF,-1.0,,,,2020,40,185,"5' 10""",,,9,,New Mexico State,30 / 40,30 / 45,55 / 55,70 / 70,40 / 50,70 / 70,,,,,,,,2018,0,,17607,9,Daniel,Johnson,OF,22,WSN,2018,2018 Report,19643,0,,0,9,40,0,2020,5th rd 2016,,70,185,L,L,New Mexico State,,,30.0,40.0,30.0,45.0,55.0,55.0,70.0,70.0,40.0,50.0,70.0,70.0,,,,,,,,,,,0,0,,0,,0,1.025,,,,
,,,Eric Pardinho,Eric Pardinho,,,,,,,,2021,40,170,"5' 10""",,,9,,Brazil,,,,,,,50 / 55,,50 / 60,40 / 50,,,40 / 55,2018,0,,17356,9,Eric,Pardinho,RHP,17,TOR,2018,2018 Report,,0,,0,9,40,0,2021,J2 2017,,70,170,R,R,Brazil,,,,,,,,,,,,,,,50.0,55.0,,,50.0,60.0,,,40.0,55.0,0,0,,0,,,,40.0,50.0,,
,MLB,sa918271,Taylor Widener,Taylor Widener,/players/taylor-widener/19266/stats/pitching,19266,P,-1.0,,,,2019,40,195,"6' 0""",,,9,,South Carolina,,,,,,,60 / 60,55 / 60,,45 / 50,,,40 / 45,2018,0,,17378,9,Taylor,Widener,RHP,23,ARI,2018,2018 Report,19266,0,,0,9,40,0,2019,12th rd 2016,,72,195,R,R,South Carolina,,,,,,,,,,,,,,,60.0,60.0,55.0,60.0,,,,,40.0,45.0,0,0,,0,,2,2.042,45.0,50.0,,
,MLB,sa659207,Dawel Lugo,Dawel Lugo,/players/dawel-lugo/14713/stats/batting,14713,2B/3B,-1.0,,,,2019,45,190,"6' 0""",,,10,,Dominican Republic,45 / 55,40 / 45,60 / 60,40 / 40,45 / 50,,,,,,,,,2018,0,,17155,10,Dawel,Lugo,2B,23,DET,2018,2018 Report,14713,0,,0,10,45,0,2019,J2 2011,,72,190,R,R,Dominican Republic,,,45.0,55.0,40.0,45.0,60.0,60.0,40.0,40.0,45.0,50.0,,,,,,,,,,,,,0,0,,0,,0,1.044,,,,
MLB,MLB,sa873683,Bryan Reynolds,Bryan Reynolds,/players/bryan-reynolds/19326/stats/batting,19326,OF,27.0,,,,2020,45,205,"6' 3""",,,10,,Vanderbilt,40 / 45,40 / 50,50 / 50,50 / 50,40 / 45,40 / 40,,,,,,,,2018,0,,17670,10,Bryan,Reynolds,OF,22,PIT,2018,2018 Report,19326,0,,0,10,45,0,2020,2nd rd 2016,,75,205,S,R,Vanderbilt,,8Nr61qxya9M,40.0,45.0,40.0,50.0,50.0,50.0,50.0,50.0,40.0,45.0,40.0,40.0,,,,,,,,,,,0,0,,0,,n/a,6.163,,,,
MLB,MLB,sa874172,Ryan Helsley,Ryan Helsley,/players/ryan-helsley/18138/stats/pitching,18138,P,2.0,,,,2018,45,195,"6' 1""",,,10,,Northeastern State,,,,,,,60 / 60,,50 / 55,40 / 45,,45 / 50,40 / 50,2018,0,,17698,10,Ryan,Helsley,RHP,23,STL,2018,2018 Report,18138,0,,0,10,45,0,2018,5th rd 2015,,73,195,R,R,Northeastern State,,,,,,,,,,,,,,,60.0,60.0,,,50.0,55.0,,,40.0,50.0,0,0,,0,,n/a,6.105,40.0,45.0,45.0,50.0
MLB,MLB,sa874781,Tony Santillan,Tony Santillan,/players/tony-santillan/19926/stats/pitching,19926,P,18.0,,,,2020,45,240,"6' 3""",,,10,,Seguin HS (TX),,,,,,,70 / 70,55 / 60,,40 / 45,,,40 / 45,2018,0,,17456,10,Tony,Santillan,RHP,20,CIN,2018,2018 Report,19926,0,,0,10,45,0,2020,2nd rd 2015,,75,240,R,R,Seguin HS (TX),,JnLLIhP5nfU,,,,,,,,,,,,,70.0,70.0,55.0,60.0,,,,,40.0,45.0,0,0,,0,,0,3.099,40.0,45.0,,
MLB,MLB,sa3003172,Brent Rooker,Brent Rooker,/players/brent-rooker/19627/stats/batting,19627,DH/OF,10.0,,,,2020,45,215,"6' 3""",,,10,,Mississippi State,30 / 40,40 / 60,65 / 65,40 / 40,40 / 45,45 / 45,,,,,,,,2018,0,,17203,10,Brent,Rooker,1B,23,MIN,2018,2018 Report,19627,0,,0,10,45,0,2020,1st rd 2017,,75,215,R,R,Mississippi State,,,30.0,40.0,40.0,60.0,65.0,65.0,40.0,40.0,40.0,45.0,45.0,45.0,,,,,,,,,,,0,0,,0,,1,4.059,,,,
AAA,MLB,sa3004047,Gabriel Arias,Gabriel Arias,/players/gabriel-arias/22563/stats/batting,22563,SS,5.0,,,,2021,45,185,"6' 1""",,,10,,Venezuela,20 / 55,20 / 45,40 / 50,50 / 45,45 / 55,60 / 60,,,,,,,,2018,0,,17721,10,Gabriel,Arias,SS,18,SDP,2018,2018 Report,22563,0,,0,10,45,0,2021,J2 2016,,73,185,R,R,Venezuela,,QiH28DhFuPI,20.0,55.0,20.0,45.0,40.0,50.0,50.0,45.0,45.0,55.0,60.0,60.0,,,,,,,,,,,0,0,,0,,0,2.124,,,,
MLB,MLB,sa874771,Peter Lambert,Peter Lambert,/players/peter-lambert/17969/stats/pitching,17969,P,21.0,,,,2020,45,185,"6' 2""",,,10,,San Dimas HS (CA),,,,,,,50 / 50,45 / 50,50 / 55,55 / 60,,,45 / 55,2018,0,,17481,10,Peter,Lambert,RHP,20,COL,2018,2018 Report,17969,0,,0,10,45,0,2020,2nd rd 2015,,74,185,R,R,San Dimas HS (CA),,bglOnR4sPGk,,,,,,,,,,,,,50.0,50.0,45.0,50.0,50.0,55.0,,,45.0,55.0,0,0,,0,,0,4.077,55.0,60.0,,
AAA,MLB,sa739716,Domingo Acevedo,Domingo Acevedo,/players/domingo-acevedo/17092/stats/pitching,17092,P,19.0,,,,2018,45,242,"6' 7""",,,10,,Dominican Republic,,,,,,,55 / 60,45 / 50,,50 / 55,,,45 / 50,2018,0,,17233,10,Domingo,Acevedo,RHP,24,NYY,2018,2018 Report,17092,0,,0,10,45,0,2018,J2 2012,,79,242,R,R,Dominican Republic,,3yyTjdYwHiE,,,,,,,,,,,,,55.0,60.0,45.0,50.0,,,,,45.0,50.0,0,0,,0,,0,1.071,50.0,55.0,,
,MLB,sa874797,Nick Neidert,Nick Neidert,/players/nick-neidert/18699/stats/pitching,18699,P,-1.0,,,,2018,45,180,"6' 1""",,,10,,Peachtree Ridge HS (GA),,,,,,,40 / 40,,45 / 50,60 / 60,,,,2018,0,,17503,10,Nick,Neidert,RHP,21,MIA,2018,2018 Report,18699,0,,0,10,45,0,2018,2nd rd 2015,,73,180,R,R,Peachtree Ridge HS (GA),,Hi4TiR7zIIw,,,,,,,,,,,,,40.0,40.0,,,45.0,50.0,,,,,0,0,,0,,1,1.063,60.0,60.0,,
AAA,MLB,sa658943,James Kaprielian,James Kaprielian,/players/james-kaprielian/18331/stats/pitching,18331,P,,,,,2019,45,200,"6' 4""",,,10,,UCLA,,,,,,,60 / 60,55 / 60,45 / 50,55 / 60,,,45 / 50,2018,0,,17260,10,James,Kaprielian,RHP,23,OAK,2018,2018 Report,18331,0,,0,10,45,0,2019,1st rd 2015,,76,200,R,R,UCLA,,hFv_4TVJwyE,,,,,,,,,,,,,60.0,60.0,55.0,60.0,45.0,50.0,,,45.0,50.0,0,0,,0,,0,2.167,55.0,60.0,,
AAA,MLB,sa917926,Josh Lowe,Josh Lowe,/players/josh-lowe/19953/stats/batting,19953,OF,1.0,,,,2021,45,190,"6' 4""",,,10,,Pope HS (GA),25 / 50,20 / 45,60 / 60,60 / 60,45 / 55,60 / 60,,,,,,,,2018,0,,17296,10,Josh,Lowe,CF,20,TBR,2018,2018 Report,19953,0,,0,10,45,0,2021,1st rd 2016,,76,190,L,R,Pope HS (GA),,0xP4kchoVfA,25.0,50.0,20.0,45.0,60.0,60.0,60.0,60.0,45.0,55.0,60.0,60.0,,,,,,,,,,,0,0,,0,,1,3.093,,,,
,MLB,sa738245,Jordan Sheffield,Jordan Sheffield,/players/jordan-sheffield/19682/stats/pitching,19682,P,-1.0,,,,2019,45,190,"5' 10""",,,10,,Vanderbilt,,,,,,,60 / 60,50 / 50,55 / 60,45 / 50,,,35 / 40,2018,0,,17559,10,Jordan,Sheffield,RHP,22,LAD,2018,2018 Report,19682,0,,0,10,45,0,2019,1st rd 2016,,70,190,R,R,Vanderbilt,,,,,,,,,,,,,,,60.0,60.0,50.0,50.0,55.0,60.0,,,35.0,40.0,0,0,,0,,2,1.015,45.0,50.0,,
MLB,MLB,sa738378,Mauricio Dubón,Mauricio Dubon,/players/mauricio-dubon/16530/stats/batting,16530,2B/OF,16.0,,,,2018,45,160,"6' 0""",,,10,,Capital Christian HS (CA),50 / 55,30 / 30,40 / 40,55 / 55,45 / 50,55 / 55,,,,,,,,2018,0,,17582,10,Mauricio,Dubon,SS,23,MIL,2018,2018 Report,16530,0,,0,10,45,0,2018,26th rd 2013,,72,160,R,R,Capital Christian HS (CA),,MgNeizABbjY,50.0,55.0,30.0,30.0,40.0,40.0,55.0,55.0,45.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,,n/a,5.162,,,,
MLB,MLB,sa915698,Jake Burger,Jake Burger,/players/jake-burger/22275/stats/batting,22275,1B/3B,13.0,,,,2020,45,210,"6' 2""",,,10,,Missouri State,35 / 50,45 / 55,65 / 65,45 / 30,40 / 45,60 / 60,,,,,,,,2018,0,,17108,10,Jake,Burger,3B,21,CHW,2018,2018 Report,22275,0,,0,10,45,0,2020,1st rd 2017,,74,210,R,R,Missouri State,,s3XP82oUmfQ,35.0,50.0,45.0,55.0,65.0,65.0,45.0,30.0,40.0,45.0,60.0,60.0,,,,,,,,,,,0,0,,0,,1,3.127,,,,
MLB,MLB,sa917955,JoJo Romero,JoJo Romero,/players/jojo-romero/19574/stats/pitching,19574,P,28.0,,,,2019,45,190,"5' 10""",,,10,,Yavapai JC (AZ),,,,,,,55 / 55,45 / 50,,55 / 60,,45 / 50,45 / 55,2018,0,,17644,10,JoJo,Romero,LHP,21,PHI,2018,2018 Report,19574,0,,0,10,45,0,2019,4th rd 2016,,70,190,L,L,Yavapai JC (AZ),,JN9zStdYzJU,,,,,,,,,,,,,55.0,55.0,45.0,50.0,,,,,45.0,55.0,0,0,,0,,n/a,5.045,55.0,60.0,45.0,50.0
MLB,MLB,sa830274,Willi Castro,Willi Castro,/players/willi-castro/17338/stats/batting,17338,2B/OF,19.0,,,,2020,45,165,"6' 1""",,,10,,Dominican Republic,40 / 55,20 / 45,45 / 45,55 / 55,55 / 60,50 / 50,,,,,,,,2018,0,,17133,10,Willi,Castro,SS,20,CLE,2018,2018 Report,17338,0,,0,10,45,0,2020,J2 2013,,73,165,S,R,Dominican Republic,,ZgzLpSZfVEw,40.0,55.0,20.0,45.0,45.0,45.0,55.0,55.0,55.0,60.0,50.0,50.0,,,,,,,,,,,0,0,,0,,n/a,6.017,,,,
,MLB,sa658528,Alec Mills,Alec Mills,/players/alec-mills/13834/stats/pitching,13834,P,-1.0,,,,2018,40,190,"6' 4""",,,10,,Tennessee-Martin,,,,,,,45 / 45,50 / 50,40 / 40,55 / 55,,,55 / 60,2018,0,,17434,10,Alec,Mills,RHP,25,CHC,2018,2018 Report,13834,0,,0,10,40,0,2018,22nd rd 2012,,76,190,R,R,Tennessee-Martin,,v5aJr-OOmpc,,,,,,,,,,,,,45.0,45.0,50.0,50.0,40.0,40.0,,,55.0,60.0,0,0,,0,,0,3.105,55.0,55.0,,
MLB,MLB,sa828674,Foster Griffin,Foster Griffin,/players/foster-griffin/16432/stats/pitching,16432,P,24.0,,,,2019,40,200,"6' 3""",,,10,,First Academy HS (FL),,,,,,,45 / 45,,55 / 60,50 / 55,,,50 / 55,2018,0,,17179,10,Foster,Griffin,LHP,22,KCR,2018,2018 Report,16432,0,,0,10,40,0,2019,1st rd 2014,,75,200,R,L,First Academy HS (FL),,,,,,,,,,,,,,,45.0,45.0,,,55.0,60.0,,,50.0,55.0,0,0,,0,,2,1.034,50.0,55.0,,
MLB,MLB,sa599195,Aramis Garcia,Aramis Garcia,/players/aramis-garcia/16925/stats/batting,16925,C,15.0,,,,2019,40,220,"6' 2""",,,10,,Florida International,40 / 45,30 / 45,55 / 55,30 / 30,40 / 45,45 / 45,,,,,,,,2018,0,,17764,10,Aramis,Garcia,C,25,SFG,2018,2018 Report,16925,0,,0,10,40,0,2019,2nd rd 2014,,74,220,R,R,Florida International,,QmGo_0jeFXg,40.0,45.0,30.0,45.0,55.0,55.0,30.0,30.0,40.0,45.0,45.0,45.0,,,,,,,,,,,0,0,,0,,0,3.060,,,,
AAA,MLB,sa914313,Gilberto Celestino,Gilberto Celestino,/players/gilberto-celestino/20233/stats/batting,20233,OF,13.0,,,,2020,40,170,"6' 0""",,,10,,Dominican Republic,30 / 55,20 / 40,30 / 40,60 / 60,45 / 60,55 / 55,,,,,,,,2018,0,,17532,10,Gilberto,Celestino,OF,19,HOU,2018,2018 Report,20233,0,,0,10,40,0,2020,J2 2015,,72,170,R,L,Dominican Republic,,QyYaz8gJrxc,30.0,55.0,20.0,40.0,30.0,40.0,60.0,60.0,45.0,60.0,55.0,55.0,,,,,,,,,,,0,0,,0,,0,1.057,,,,
AAA,MLB,sa918372,Wyatt Mills,Wyatt Mills,/players/wyatt-mills/20010/stats/pitching,20010,P,22.0,,,,2020,40,175,"6' 3""",,,10,,Gonzaga,,,,,,,60 / 60,60 / 60,,,,,50 / 55,2018,0,,17283,10,Wyatt,Mills,RHP,23,SEA,2018,2018 Report,20010,0,,0,10,40,0,2020,3rd rd 2017,,75,175,R,R,Gonzaga,,,,,,,,,,,,,,,60.0,60.0,60.0,60.0,,,,,50.0,55.0,0,0,,0,,1,1.134,,,,
AAA,MLB,sa738522,Matt Thaiss,Matt Thaiss,/players/matt-thaiss/19318/stats/batting,19318,C,3.0,,,,2018,40,197,"5' 11""",,,10,,Virginia,45 / 55,35 / 45,50 / 50,30 / 30,40 / 50,50 / 50,,,,,,,,2018,0,,17050,10,Matt,Thaiss,1B,21,LAA,2018,2018 Report,19318,0,,0,10,40,0,2018,1st rd 2016,,71,197,L,R,Virginia,,,45.0,55.0,35.0,45.0,50.0,50.0,30.0,30.0,40.0,50.0,50.0,50.0,,,,,,,,,,,0,0,,0,,0,3.169,,,,
CPX,MLB,sa915645,Zac Lowther,Zac Lowther,/players/zac-lowther/20243/stats/pitching,20243,P,,,,,2019,40,235,"6' 2""",,,10,,Xavier,,,,,,,50 / 55,,55 / 60,45 / 50,,,45 / 55,2018,0,,17069,10,Zac,Lowther,LHP,21,BAL,2018,2018 Report,20243,0,,0,10,40,0,2019,2nd rd 2017,,74,235,L,L,Xavier,,wVeEOHsnDns,,,,,,,,,,,,,50.0,55.0,,,55.0,60.0,,,45.0,55.0,0,0,,0,,1,0.044,45.0,50.0,,
,MLB,sa658940,Kyle Cody,Kyle Cody,/players/kyle-cody/19686/stats/pitching,19686,P,-1.0,,,,2019,40,245,"6' 7""",,,10,,Kentucky,,,,,,,60 / 70,60 / 60,,45 / 50,,,40 / 45,2018,0,,17330,10,Kyle,Cody,RHP,23,TEX,2018,2018 Report,19686,0,,0,10,40,0,2019,6th rd 2016,,79,245,R,R,Kentucky,,,,,,,,,,,,,,,60.0,70.0,60.0,60.0,,,,,40.0,45.0,0,0,,0,,2,1.108,45.0,50.0,,
,A+,sa3004616,Cole Brannen,Cole Brannen,/players/coleman-brannen/sa3004616/stats/batting,sa3004616,OF,-1.0,,,,2022,40,170,"6' 0""",,,10,,Westfield HS (GA),20 / 50,20 / 40,50 / 55,55 / 50,40 / 45,50 / 50,,,,,,,,2018,0,,17089,10,Cole,Brannen,OF,19,BOS,2018,2018 Report,sa3004616,0,,0,10,40,0,2022,2nd rd 2017,,72,170,L,R,Westfield HS (GA),,1Kk9ikfUHE0,20.0,50.0,20.0,40.0,50.0,55.0,55.0,50.0,40.0,45.0,50.0,50.0,,,,,,,,,,,0,0,,0,,R5,,,,,
,MLB,sa736855,Kelvin Gutiérrez,Kelvin Gutierrez,/players/kelvin-gutierrez/17468/stats/batting,17468,3B,-1.0,,,,2019,40,185,"6' 3""",,,10,,Dominican Republic,40 / 55,30 / 40,45 / 50,40 / 40,40 / 45,60 / 60,,,,,,,,2018,0,,17608,10,Kelvin,Gutierrez,3B,23,WSN,2018,2018 Report,17468,0,,0,10,40,0,2019,J2 2012,,75,185,R,R,Dominican Republic,,6mLb50yVjwM,40.0,55.0,30.0,40.0,45.0,50.0,40.0,40.0,40.0,45.0,60.0,60.0,,,,,,,,,,,0,0,,0,,0,1.157,,,,
AAA,MLB,sa737505,Reese McGuire,Reese McGuire,/players/reese-mcguire/15674/stats/batting,15674,C,4.0,,,,2018,40,195,"6' 1""",,,10,,Kentwood HS (WA),45 / 55,20 / 35,45 / 45,30 / 30,50 / 60,55 / 55,,,,,,,,2018,0,,17357,10,Reese,McGuire,C,22,TOR,2018,2018 Report,15674,0,,0,10,40,0,2018,1st rd 2013,,73,195,L,R,Kentwood HS (WA),,R-7ft9EA2ac,45.0,55.0,20.0,35.0,45.0,45.0,30.0,30.0,50.0,60.0,55.0,55.0,,,,,,,,,,,0,0,,0,,n/a,5.110,,,,
,MLB,sa875054,Thomas Szapucki,Thomas Szapucki,/players/thomas-szapucki/21065/stats/pitching,21065,P,-1.0,,,,2021,40,190,"6' 2""",,,10,,Dwyer HS (FL),,,,,,,60 / 60,,60 / 60,40 / 50,,,40 / 50,2018,0,,17626,10,Thomas,Szapucki,LHP,21,NYM,2018,2018 Report,21065,0,,0,10,40,0,2021,5th rd 2015,,74,190,R,L,Dwyer HS (FL),,aaIRseQiZNU,,,,,,,,,,,,,60.0,60.0,,,60.0,60.0,,,40.0,50.0,0,0,,0,,1,1.061,40.0,50.0,,
MLB,MLB,sa874810,Taylor Clarke,Taylor Clarke,/players/taylor-clarke/17611/stats/pitching,17611,P,15.0,,,,2018,40,200,"6' 4""",,,10,,Charleston,,,,,,,50 / 50,,55 / 55,45 / 50,,45 / 45,50 / 55,2018,0,,17379,10,Taylor,Clarke,RHP,24,ARI,2018,2018 Report,17611,0,,0,10,40,0,2018,3rd rd 2015,,76,200,R,R,Charleston,,,,,,,,,,,,,,,50.0,50.0,,,55.0,55.0,,,50.0,55.0,0,0,,0,,n/a,5.148,45.0,50.0,45.0,45.0
AAA,MLB,sa874245,Kolby Allard,Kolby Allard,/players/kolby-allard/18694/stats/pitching,18694,P,5.0,,,,2019,50,175,"6' 1""",,,11,,San Clemente HS (CA),,,,,,,45 / 50,,50 / 55,45 / 55,,,50 / 60,2018,0,,17403,11,Kolby,Allard,LHP,19,ATL,2018,2018 Report,18694,0,,0,11,50,0,2019,1st rd 2015,,73,175,L,L,San Clemente HS (CA),,6j3g65GKpzk,,,,,,,,,,,,,45.0,50.0,,,50.0,55.0,,,50.0,60.0,0,0,,0,,n/a,5.004,45.0,55.0,,
MLB,MLB,sa737262,Gregory Soto,Gregory Soto,/players/gregory-soto/19677/stats/pitching,19677,P,27.0,,,,2021,45,240,"6' 1""",,,11,,Dominican Republic,,,,,,,55 / 60,,60 / 70,40 / 45,,,40 / 45,2018,0,,17156,11,Gregory,Soto,LHP,23,DET,2018,2018 Report,19677,0,,0,11,45,0,2021,J2 2012,,73,240,L,L,Dominican Republic,,,,,,,,,,,,,,,55.0,60.0,,,60.0,70.0,,,40.0,45.0,0,0,,0,,n/a,6.102,40.0,45.0,,
AAA,MLB,sa827183,Kevin Newman,Kevin Newman,/players/kevin-newman/17696/stats/batting,17696,2B/SS,7.0,,,,2018,45,180,"6' 1""",,,11,,Arizona,50 / 60,20 / 30,40 / 40,55 / 55,40 / 45,50 / 50,,,,,,,,2018,0,,17671,11,Kevin,Newman,SS,24,PIT,2018,2018 Report,17696,0,,0,11,45,0,2018,1st rd 2015,,73,180,R,R,Arizona,,3UO8or3lTT8,50.0,60.0,20.0,30.0,40.0,40.0,55.0,55.0,40.0,45.0,50.0,50.0,,,,,,,,,,,0,0,,0,,n/a,7.003,,,,
MLB,MLB,sa875019,Jordan Hicks,Jordan Hicks,/players/jordan-hicks/19618/stats/pitching,19618,P,4.0,,,,2020,45,185,"6' 2""",,,11,,Cypress Creek HS (TX),,,,,,,60 / 70,45 / 50,,40 / 50,,,30 / 40,2018,0,,17699,11,Jordan,Hicks,RHP,21,STL,2018,2018 Report,19618,0,,0,11,45,0,2020,3rd rd 2015,,74,185,R,R,Cypress Creek HS (TX),,,,,,,,,,,,,,,60.0,70.0,45.0,50.0,,,,,30.0,40.0,0,0,,0,,n/a,8.000,40.0,50.0,,
MLB,MLB,sa874242,Tyler Stephenson,Tyler Stephenson,/players/tyler-stephenson/17988/stats/batting,17988,C,18.0,,,,2020,45,210,"6' 4""",,,11,,Kennesaw Mountain HS (GA),20 / 40,30 / 50,55 / 60,30 / 30,30 / 45,70 / 70,,,,,,,,2018,0,,17457,11,Tyler,Stephenson,C,21,CIN,2018,2018 Report,17988,0,,0,11,45,0,2020,1st rd 2015,,76,210,R,R,Kennesaw Mountain HS (GA),,jbQ74U8MGvM,20.0,40.0,30.0,50.0,55.0,60.0,30.0,30.0,30.0,45.0,70.0,70.0,,,,,,,,,,,0,0,,0,,n/a,5.056,,,,
MLB,MLB,sa856280,LaMonte Wade Jr.,LaMonte Wade Jr.,/players/lamonte-wade-jr/18126/stats/batting,18126,1B/OF,21.0,,,,2019,45,190,"6' 1""",,,11,,Maryland,40 / 50,30 / 40,45 / 45,50 / 50,50 / 55,40 / 40,,,,,,,,2018,0,,17204,11,Lamonte,Wade,LF,24,MIN,2018,2018 Report,18126,0,,0,11,45,0,2019,9th rd 2015,,73,190,L,L,Maryland,,,40.0,50.0,30.0,40.0,45.0,45.0,50.0,50.0,50.0,55.0,40.0,40.0,,,,,,,,,,,0,0,,0,,n/a,5.163,,,,
AA,MLB,sa3004048,Tirso Ornelas,Tirso Ornelas,/players/tirso-ornelas/22566/stats/batting,22566,OF,29.0,,,,2021,45,180,"6' 4""",,,11,,Mexico,25 / 55,20 / 55,55 / 60,50 / 45,40 / 50,50 / 50,,,,,,,,2018,0,,17722,11,Tirso,Ornelas,LF,18,SDP,2018,2018 Report,22566,0,,0,11,45,0,2021,J2 2016,,76,180,L,R,Mexico,,,25.0,55.0,20.0,55.0,55.0,60.0,50.0,45.0,40.0,50.0,50.0,50.0,,,,,,,,,,,0,0,,0,,1,0.014,,,,
AAA,MLB,sa828689,Ryan Castellani,Ryan Castellani,/players/ryan-castellani/16377/stats/pitching,16377,P,,,,,2019,45,193,"6' 4""",,,11,,Brophy Prep (AZ),,,,,,,50 / 50,50 / 55,,50 / 55,,,40 / 50,2018,0,,17482,11,Ryan,Castellani,RHP,22,COL,2018,2018 Report,16377,0,,0,11,45,0,2019,2nd rd 2014,,76,193,R,R,Brophy Prep (AZ),,,,,,,,,,,,,,,50.0,50.0,50.0,55.0,,,,,40.0,50.0,0,0,,0,,1,1.001,50.0,55.0,,
ST,MLB,sa739620,Thairo Estrada,Thairo Estrada,/players/thairo-estrada/16426/stats/batting,16426,2B,,,,,2019,45,185,"5' 10""",,,11,,Venezuela,45 / 55,30 / 40,45 / 45,60 / 55,45 / 50,55 / 55,,,,,,,,2018,0,,17234,11,Thairo,Estrada,SS,22,NYY,2018,2018 Report,16426,0,,0,11,45,0,2019,J2 2013,,70,185,R,R,Venezuela,,,45.0,55.0,30.0,40.0,45.0,45.0,60.0,55.0,45.0,50.0,55.0,55.0,,,,,,,,,,,0,0,,0,,n/a,5.153,,,,
,,,Trevor Rogers,Trevor Rogers,,,,,,,,2021,45,185,"6' 6""",,,11,,Carlsbad HS (NM),,,,,,,55 / 60,45 / 50,40 / 45,40 / 50,,,30 / 45,2018,0,,17504,11,Trevor,Rogers,LHP,20,MIA,2018,2018 Report,,0,,0,11,45,0,2021,1st rd 2017,,78,185,L,L,Carlsbad HS (NM),,EgPQVpXhSuU,,,,,,,,,,,,,55.0,60.0,45.0,50.0,40.0,45.0,,,30.0,45.0,0,0,,0,,,,40.0,50.0,,
MLB,MLB,sa3004723,Nick Allen,Nick Allen,/players/nick-allen/22277/stats/batting,22277,SS,21.0,,,,2021,45,155,"5' 9""",,,11,,Francis Parker HS (CA),25 / 50,20 / 30,20 / 30,50 / 50,45 / 60,60 / 60,,,,,,,,2018,0,,17261,11,Nick,Allen,SS,19,OAK,2018,2018 Report,22277,0,,0,11,45,0,2021,3rd rd 2017,,69,155,R,R,Francis Parker HS (CA),,LdNKp8Xs1s0,25.0,50.0,20.0,30.0,20.0,30.0,50.0,50.0,45.0,60.0,60.0,60.0,,,,,,,,,,,0,0,,0,,0,2.164,,,,
