scorer,event,h,n,pos,base,auc,ap,brier,calib
A_raw(v2.1c),STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9974610626410937,0.25558677959969367,0.00027772992382043914,0.6863267888395187
A_raw(v2.1c),STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9786707306824867,0.17815306586065463,0.0007408581372245901,0.8480369233347311
A_raw(v2.1c),STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.9611361909444419,0.11908808069393534,0.0014892735158680255,0.9586344330150874
A_raw(v2.1c),STAR_PLUS_ELITE,4,21482,58,0.002699934829159296,0.9580304717880044,0.16202877683461278,0.002430771436325262,1.059669975361493
A_raw(v2.1c),STAR_PLUS_ELITE,5,20398,86,0.0042160996176095695,0.954710012182053,0.14708171785268154,0.0038354785298090614,1.1071614245734265
A_raw(v2.1c),STAR_PLUS_ELITE,6,19155,112,0.00584703732706865,0.9508614432749941,0.17103589944427305,0.005225145226303565,1.0941985752572319
A_raw(v2.1c),STAR_PLUS_ELITE,7,17790,132,0.007419898819561552,0.9484453351043566,0.18224303818463441,0.0065845481833739575,1.0786154836484187
A_raw(v2.1c),STAR_PLUS_ELITE,8,16407,147,0.008959590418723715,0.9448661629473436,0.18968579365555005,0.007913512808752698,1.0737964797829491
A_raw(v2.1c),STAR_PLUS_ELITE,9,15013,162,0.010790648104975688,0.9417715978721971,0.21264523519453388,0.009409722414187539,1.0308417808222752
A_raw(v2.1c),STAR_PLUS_ELITE,10,13617,170,0.012484394506866416,0.9394104961089068,0.22473076027777497,0.010786607340497308,0.9616573855427734
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.9934579880933021,0.6382304085158205,0.002904022099988583,1.0275669718166223
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9853106230538939,0.6150246555856185,0.0054747647535723165,1.0317690799231387
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.980355338385853,0.5908206486095033,0.007470332069708083,1.0138400440379725
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9785534910648759,0.5776187042445353,0.00851746911671446,0.9835739126695399
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9778769461479886,0.5719814482780422,0.009246500500059426,0.9678141600777871
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9769143161745896,0.5707061205746177,0.00982428371939483,0.9710319012739992
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9757295037459943,0.5655104977460795,0.010445063146708435,0.9707195288008561
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9747647000298478,0.5725259778761077,0.010830901746171536,0.9724707451591026
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9738176908480514,0.5757171428540876,0.011298207521602877,0.9678857365178644
"A_cal(VAL-FIT,optim)",TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.971592934761941,0.5717583594502371,0.011779105589999823,0.9780407200029666
"A_cal(VAL-FIT,optim)",MLB_DEBUT,1,23864,650,0.027237680187730474,0.9625497544585162,0.4942015943517992,0.01826724115890943,0.9587160091024015
"A_cal(VAL-FIT,optim)",MLB_DEBUT,2,23192,1281,0.05523456364263539,0.9525595722187599,0.6043526152047899,0.03215844584749923,0.9058737100000129
"A_cal(VAL-FIT,optim)",MLB_DEBUT,3,22409,1852,0.08264536570128074,0.9407223196819547,0.6473310678327678,0.04533277049116679,0.8812936475541729
"A_cal(VAL-FIT,optim)",MLB_DEBUT,4,21482,2252,0.10483195233218509,0.9335580829982755,0.6685936359276035,0.05550562020281795,0.8729462605469207
"A_cal(VAL-FIT,optim)",MLB_DEBUT,5,20398,2456,0.12040396117266398,0.9302306481943085,0.6821572839237557,0.06216880799851282,0.8748661321365624
"A_cal(VAL-FIT,optim)",MLB_DEBUT,6,19155,2508,0.13093187157400157,0.9289194503102177,0.695391340262254,0.06620279450956665,0.8680926956925947
"A_cal(VAL-FIT,optim)",MLB_DEBUT,7,17790,2463,0.13844856661045532,0.9273366129276349,0.7002456212722284,0.06929764928319522,0.8668796918437196
"A_cal(VAL-FIT,optim)",MLB_DEBUT,8,16407,2362,0.1439629426464314,0.9251248029724223,0.6991365317845789,0.07201594742495024,0.8610904012099535
"A_cal(VAL-FIT,optim)",MLB_DEBUT,9,15013,2238,0.14907080530207154,0.9224266144814091,0.69559098839209,0.07470001520936292,0.8629187613632103
"A_cal(VAL-FIT,optim)",MLB_DEBUT,10,13617,2100,0.1542189909671734,0.9195211013119322,0.6939935962450633,0.07726291820222124,0.8713911753330945
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,1,23864,6,0.00025142474019443513,0.99000335317294,0.25941541931244444,0.0002316472411647645,1.622521811024285
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,2,23192,74,0.003190755432907899,0.9727730585503749,0.2311379597046792,0.0028043137311383093,1.1290935286621993
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,3,22409,238,0.010620732741309296,0.9614020927481542,0.30871971249435753,0.008717354703200625,1.0558175624294048
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,4,21482,446,0.020761567824224933,0.9509349549821489,0.35875933564468937,0.016022188830893798,0.9921529249476108
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,5,20398,640,0.03137562506128052,0.9434874481222796,0.39904656334945715,0.02304509496163453,0.9815811205387448
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,6,19155,793,0.04139911250326286,0.9370013500385206,0.4356625102966449,0.029346950332195178,0.9371632693431929
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,7,17790,895,0.05030916245081506,0.9332307498995603,0.4590759656545058,0.03476428031749932,0.9130212277349252
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,8,16407,948,0.05778021576156519,0.9292888661801205,0.47741461771272314,0.039153175904078116,0.8943268169178985
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,9,15013,962,0.0640777992406581,0.9245936358063609,0.47855319372275,0.043237660198263556,0.8943875303817415
"A_cal(VAL-FIT,optim)",ESTABLISHED_MLB,10,13617,950,0.06976573400895938,0.9198632168959543,0.483456871720818,0.046749752112440236,0.9080286339843784
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,1,23864,7,0.0002933288635601743,0.9974610626410937,0.25558677959969367,0.00027772992382043914,0.6863267888395187
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,2,23192,19,0.0008192480165574336,0.9786707306824867,0.17815306586065463,0.0007408581372245901,0.8480369233347311
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,3,22409,36,0.0016064973894417422,0.9611361909444419,0.11908808069393534,0.0014898988219451477,1.016472385042896
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,4,21482,58,0.002699934829159296,0.9580304717880044,0.16202877683461278,0.002436374381092757,1.1500461726080917
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,5,20398,86,0.0042160996176095695,0.954710012182053,0.14708171785268154,0.0038459881813885815,1.157137815427703
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,6,19155,112,0.00584703732706865,0.9508614432749941,0.17103589944427305,0.005236835609638925,1.1237398199171327
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,7,17790,132,0.007419898819561552,0.9484453351043566,0.18224303818463441,0.0065838363062969705,1.042986736476801
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,8,16407,147,0.008959590418723715,0.9448661629473436,0.18968579365555005,0.007910358213682208,1.005058077796029
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,9,15013,162,0.010790648104975688,0.9417715978721971,0.21264523519453388,0.009410344884145638,1.0090069100007475
"A_cal(VAL-FIT,optim)",STAR_PLUS_ELITE,10,13617,170,0.012484394506866416,0.9394104961089068,0.22473076027777497,0.010785103872583718,1.0234066423871269
E_raw(rawfeat bag),TOP_100_PROSPECT,1,23519,123,0.005229814192780305,0.9951845357485888,0.6573354522595085,0.0028538389621231264,1.0782629886300752
E_raw(rawfeat bag),TOP_100_PROSPECT,2,22852,218,0.0095396464204446,0.9895760457799543,0.6657550061521835,0.005180073936361423,0.9416610332881555
E_raw(rawfeat bag),TOP_100_PROSPECT,3,22076,276,0.012502264903062148,0.9847988133226966,0.6366827618727684,0.007101686115043579,0.9214990432369699
E_raw(rawfeat bag),TOP_100_PROSPECT,4,21158,297,0.014037243595803005,0.9830318266634838,0.6291409786343706,0.00805380735347111,0.9317436565004461
E_raw(rawfeat bag),TOP_100_PROSPECT,5,20088,303,0.01508363201911589,0.9818075666550734,0.6206333037655142,0.008771550074717024,0.9321880401089446
E_raw(rawfeat bag),TOP_100_PROSPECT,6,18863,302,0.01601017865662938,0.9808865416377215,0.617124224026473,0.009356915839780168,0.9249583272925918
E_raw(rawfeat bag),TOP_100_PROSPECT,7,17518,296,0.016896906039502228,0.9798774430568067,0.6115925036215796,0.009958223610645004,0.9101084370561238
E_raw(rawfeat bag),TOP_100_PROSPECT,8,16155,285,0.017641597028783658,0.9789544434495187,0.6150079252597429,0.010400825014512692,0.8931785708295106
E_raw(rawfeat bag),TOP_100_PROSPECT,9,14780,272,0.018403247631935047,0.9779127945636484,0.6118189255714396,0.010919388440961733,0.8791431509688237
E_raw(rawfeat bag),TOP_100_PROSPECT,10,13404,256,0.019098776484631454,0.9759103689724673,0.6046194571208371,0.011431726997625014,0.8869685549526592
