rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
21,Roman Anthony,cf-lf,6-3,200,L,R,2004-05-13,"West Palm Beach,FL",MLB,2025-2026,2022-2026,2022- 2- 79-BOS,premium,premium,premium
22,Ricky Tiedemann,p,6-4,220,L,L,2002-08-18,"Long Beach,CA",AAA, ,2022-2024,2021- 3- 91-TOR,premium,premium,premium
23,Noelvi Marte,3b,6-2,216,R,R,2001-10-16,"Cotui,DR",MLB,2023-2026,2019-2026,2018- UDFA -SEA,premium,premium,premium
24,Cade Horton,p,6-1,211,R,R,2001-08-20,"Oklahoma City,OK",MLB,2025-2026,2022-2026,2022- 1- 7-CHN,premium,premium,premium
25,Coby Mayo,3b-1b,6-4,230,R,R,2001-12-10,"Coral Springs,FL",MLB,2024-2026,2021-2026,2020- 4- 103-BAL,premium,premium,premium
26,Kyle Harrison,p,6-2,209,R,L,2001-08-12,"San Jose,CA",MLB,2023-2026,2021-2026,2020- 3- 85-SFN,premium,premium,premium
27,Robby Snelling,p,6-3,210,R,L,2003-12-19,"Reno,NV",MLB,2026-2026,2023-2026,2022- 1- 39-SDN,premium,premium,premium
28,Colt Keith,3b-2b,6-2,211,L,R,2001-08-14,"Zanesville,OH",MLB,2024-2026,2021-2026,2020- 5- 132-DET,premium,premium,premium
29,Chase DeLauter,rf-cf,6-3,235,L,L,2001-10-08,"Frederick,MD",MLB,2026-2026,2020-2026,2022- 1- 16-CLE,premium,premium,premium
30,Jett Williams,ss-2b,5-7,175,R,R,2003-11-03,"Dallas,TX",AAA, ,2022-2026,2022- 1- 14-NYN,premium,premium,premium
31,Matt Shaw,3b-ss,5-10,185,R,R,2001-11-06,"Springfield,MA",MLB,2025-2026,2021-2026,2023- 1- 13-CHN,premium,premium,premium
32,Jacob Misiorowski,p,6-7,197,R,R,2002-04-03,"Blue Springs,MO",MLB,2025-2026,2022-2026,2022- 2- 63-MIL,premium,premium,premium
33,Jeferson Quero,c,5-11,203,R,R,2002-10-08,"Barquisimeto,VZ",MLB,2026-2026,2021-2026,2019- UDFA -MIL,premium,premium,premium
34,Colton Cowser,lf-cf,6-3,220,L,R,2000-03-20,"Houston,TX",MLB,2023-2026,2019-2026,2021- 1- 5-BAL,premium,premium,premium
35,Brooks Lee,ss-3b,6-1,205,B,R,2001-02-14,"San Luis Obispo,CA",MLB,2024-2026,2020-2026,2022- 1- 8-MIN,premium,premium,premium
36,Adael Amador,2b,5-11,200,B,R,2003-04-11,"Santo Domingo,DR",MLB,2024-2025,2021-2026,2019- UDFA -COL,premium,premium,premium
37,Carson Williams,ss,6-2,180,R,R,2003-06-25,"San Diego,CA",MLB,2025-2026,2021-2026,2021- 1- 28-TBA,premium,premium,premium
38,Dylan Lesko,p,6-2,195,R,R,2003-09-07,"Atlanta,GA",A+, ,2023-2026,2022- 1- 15-SDN,premium,premium,premium
39,Masyn Winn,ss,5-9,185,R,R,2002-03-21,"Katy,TX",MLB,2023-2026,2021-2026,2020- 2- 54-SLN,premium,premium,premium
40,Noah Schultz,p,6-10,240,L,L,2003-08-05,"Naperville,IL",MLB,2026-2026,2023-2026,2022- 1- 26-CHA,premium,premium,premium
41,Heston Kjerstad,rf-lf,6-2,205,L,R,1999-02-12,"Amarillo,TX",MLB,2023-2025,2018-2026,2020- 1- 2-BAL,premium,premium,premium
42,AJ Smith-Shawver,p,6-3,205,R,R,2002-11-20,"Fort Worth,TX",MLB,2023-2025,2021-2025,2021- 7- 217-ATL,premium,premium,premium
43,Michael Busch,1b,6-0,210,L,R,1997-11-09,"Inver Grove Heights,MN",MLB,2023-2026,2017-2026,2019- 1- 31-LAN,premium,premium,premium
44,Cole Young,ss-2b,5-11,180,L,R,2003-07-29,"Pittsburgh,PA",MLB,2025-2026,2022-2026,2022- 1- 21-SEA,premium,premium,premium
45,Mason Miller,p,6-5,200,R,R,1998-08-24,"Pittsburgh,PA",MLB,2023-2026,2017-2026,2021- 3- 97-OAK,premium,premium,premium
46,Spencer Jones,cf,6-7,240,L,L,2001-05-14,"Encinitas,CA",MLB,2026-2026,2020-2026,2022- 1- 25-NYA,premium,premium,premium
47,Owen Caissie,rf-lf,6-3,190,L,R,2002-07-08,"Burlington,ON",MLB,2025-2026,2021-2026,2020- 2- 45-SDN,premium,premium,premium
48,Noble Meyer,p,6-5,185,R,R,2005-01-10,"Tualatin,OR",A+, ,2023-2025,2023- 1- 10-MIA,premium,premium,premium
49,Hurston Waldrep,p,6-2,210,R,R,2002-03-01,"Cairo,GA",MLB,2024-2025,2021-2025,2023- 1- 24-ATL,premium,premium,premium
50,Dalton Rushing,c-lf,5-11,220,L,R,2001-02-21,"Memphis,TN",MLB,2025-2026,2020-2026,2022- 2- 40-LAN,premium,premium,premium
51,Harry Ford,c,5-10,200,R,R,2003-02-21,"Atlanta,GA",MLB,2025-2025,2021-2026,2021- 1- 12-SEA,premium,premium,premium
52,Colt Emerson,ss-3b,6-0,195,L,R,2005-07-20,"Zanesville,OH",AAA, ,2023-2026,2023- 1- 22-SEA,premium,premium,premium
53,Emmanuel Rodriguez,cf,5-11,210,L,L,2003-02-28,"Santiago,CU",AAA, ,2021-2026,2019- UDFA -MIN,premium,premium,premium
54,Sebastian Walcott,ss,6-4,190,R,R,2006-03-14,"Nassau,BM",AA, ,2023-2025,2023- UDFA -TEX,premium,premium,premium
55,Brady House,3b,6-4,208,R,R,2003-06-04,"Winder,GA",MLB,2025-2026,2021-2026,2021- 1- 11-WAS,premium,premium,premium
56,Marco Luciano,ss-2b,6-1,215,R,R,2001-09-10,"San Francisco de Macoris,DR",MLB,2023-2024,2019-2026,2018- UDFA -SFN,premium,premium,premium
57,Bryce Eldridge,1b,6-7,240,L,R,2004-10-20,"Fairfax,VA",MLB,2025-2026,2023-2026,2023- 1- 16-SFN,premium,premium,premium
58,Drew Thorpe,p,6-4,220,L,R,2000-10-01,"Washington,UT",MLB,2024-2024,2020-2024,2022- 2- 61-NYA,premium,premium,premium
59,Bubba Chandler,p,6-3,218,B,R,2002-09-14,"Lawrenceville,GA",MLB,2025-2026,2021-2026,2021- 3- 72-PIT,premium,premium,premium
60,Rhett Lowder,p,6-2,200,R,R,2002-03-08,"Albemarle,NC",MLB,2024-2026,2021-2026,2023- 1- 7-CIN,premium,premium,premium
61,Chase Dollander,p,6-2,200,R,R,2001-10-26,"Evans,GA",MLB,2025-2026,2021-2026,2023- 1- 9-COL,premium,premium,premium
62,Kyle Teel,c,6-0,210,L,R,2002-02-15,"Ridgewood,NJ",MLB,2025-2025,2021-2026,2023- 1- 14-BOS,premium,premium,premium
63,Justin Crawford,cf,6-2,188,L,R,2004-01-13,"Phoenix,AZ",MLB,2026-2026,2022-2026,2022- 1- 17-PHI,premium,premium,premium
64,Mick Abel,p,6-5,190,R,R,2001-08-18,"Portland,OR",MLB,2025-2026,2021-2026,2020- 1- 15-PHI,premium,premium,premium
65,Curtis Mead,3b-2b,6-1,225,R,R,2000-10-26,"Adelaide,AU",MLB,2023-2026,2018-2026,2018- UDFA -PHI,premium,premium,premium
66,Shane Baz,p,6-3,200,R,R,1999-06-17,"Houston,TX",MLB,2021-2026,2017-2026,2017- 1- 12-PIT,premium,premium,premium
67,Everson Pereira,cf-rf,5-11,203,R,R,2001-04-10,"Cabudare,VZ",MLB,2023-2026,2018-2026,2017- UDFA -NYA,premium,premium,premium
68,Roderick Arias,ss,6-0,178,B,R,2004-09-09,"San Pedro de Macoris,DR",A+, ,2022-2026,2022- UDFA -NYA,premium,premium,premium
69,Xavier Isaac,1b,6-3,240,L,L,2003-12-17,"Fayetteville,NC",AA, ,2022-2026,2022- 1- 29-TBA,premium,premium,premium
70,Tyler Black,1b,6-1,199,L,R,2000-07-26,"Toronto,ON",MLB,2024-2026,2019-2026,2021- 1- 33-MIL,premium,premium,premium
71,Austin Wells,c,6-1,220,L,R,1999-07-12,"Scottsdale,AZ",MLB,2023-2026,2019-2026,2020- 1- 28-NYA,premium,premium,premium
72,Chase Hampton,p,6-2,220,R,R,2001-08-07,"Longview,TX",AA, ,2021-2026,2022- 6- 190-NYA,premium,premium,premium
73,Tyler Soderstrom,c-1b,6-2,200,L,R,2001-11-24,"Turlock,CA",MLB,2023-2026,2021-2026,2020- 1- 26-OAK,premium,premium,premium
74,Jared Jones,p,6-0,190,L,R,2001-08-06,"Whittier,CA",MLB,2024-2024,2021-2026,2020- 2- 44-PIT,premium,premium,premium
75,Tekoah Roby,p,6-1,210,R,R,2001-09-18,"Asheville,NC",AAA, ,2021-2025,2020- 3- 86-TEX,premium,premium,premium
76,Jacob Wilson,3b-lf,5-11,219,R,R,1990-07-29,"Bartlett,TN",MLB,2021-2021,2009-2021,2012- 10- 330-SLN,premium,premium,premium
77,Termarr Johnson,2b-ss,5-8,190,L,R,2004-06-11,"Atlanta,GA",AAA, ,2022-2026,2022- 1- 4-PIT,premium,premium,premium
78,Connor Phillips,p,6-2,209,R,R,2001-05-04,"Houston,TX",MLB,2023-2026,2020-2026,2020- 2- 64-SEA,premium,premium,premium
79,Luis Morales,p,6-3,200,R,R,2002-09-24,"Antilla,CU",MLB,2025-2026,2023-2026,2023- UDFA -OAK,premium,premium,premium
80,Brayan Rocchio,ss,5-9,170,B,R,2001-01-13,"Caracas,VZ",MLB,2023-2026,2018-2026,2017- UDFA -CLE,premium,premium,premium
81,Jace Jung,3b-2b,6-0,205,L,R,2000-10-04,"San Antonio,TX",MLB,2024-2026,2020-2026,2022- 1- 12-DET,premium,premium,premium
82,Gavin Stone,p,6-1,175,R,R,1998-10-15,"Lake City,AR",MLB,2023-2024,2018-2024,2020- 5- 159-LAN,premium,premium,premium
83,Victor Scott,cf,5-11,190,L,L,2001-02-12,"Atlanta,GA",MLB,2024-2026,2020-2026,2022- 5- 157-SLN,premium,premium,premium
84,Tink Hence,p,6-1,195,R,R,2002-08-06,"Pine Bluff,AR",AAA, ,2021-2026,2020- 2- 63-SLN,premium,premium,premium
85,Thomas Saggese,ss-2b,5-11,185,R,R,2002-04-10,"Carlsbad,CA",MLB,2024-2026,2021-2026,2020- 5- 145-TEX,premium,premium,premium
86,Nolan Schanuel,1b,6-2,220,L,R,2002-02-14,"Boca Raton,FL",MLB,2023-2026,2021-2026,2023- 1- 11-ANA,premium,premium,premium
87,Ronny Mauricio,2b-ss,6-4,166,B,R,2001-04-04,"San Pedro De Macoris,DR",MLB,2023-2026,2018-2026,2017- UDFA -NYN,premium,premium,premium
88,Jacob Melton,cf-rf,6-3,208,L,L,2000-09-07,"Medford,OR",MLB,2025-2025,2019-2026,2022- 2- 64-HOU,premium,premium,premium
89,Max Meyer,p,6-0,196,L,R,1999-03-12,"Woodbury,MN",MLB,2022-2026,2018-2026,2020- 1- 3-MIA,premium,premium,premium
90,Orelvis Martinez,ss-3b,5-11,200,R,R,2001-11-19,"Santo Domingo,DR",MLB,2024-2024,2019-2025,2018- UDFA -TOR,premium,premium,premium
91,Drew Gilbert,cf-lf,5-9,195,L,L,2000-09-27,"St. Paul,MN",MLB,2025-2026,2020-2026,2022- 1- 28-HOU,premium,premium,premium
92,Yanquiel Fernandez,rf,6-2,198,L,L,2003-01-01,"Havana,CU",MLB,2025-2025,2021-2026,2019- UDFA -COL,premium,premium,premium
93,DL Hall,p,6-1,204,L,L,1998-09-19,"Valdosta,GA",MLB,2022-2026,2017-2026,2017- 1- 21-BAL,premium,premium,premium
94,Ceddanne Rafaela,cf-ss,5-10,165,R,R,2000-09-18,"Willemstad,CC",MLB,2023-2026,2018-2026,2017- UDFA -BOS,premium,premium,premium
95,Brayden Taylor,3b,6-0,180,L,R,2002-05-22,"West Jordan,UT",AA, ,2021-2026,2023- 1- 19-TBA,premium,premium,premium
96,Andy Pages,cf-rf,6-1,212,R,R,2000-12-08,"Havana,CU",MLB,2024-2026,2018-2026,2018- UDFA -LAN,premium,premium,premium
97,Nick Frasso,p,6-5,200,R,R,1998-10-18,"Torrance,CA",AAA, ,2018-2026,2020- 4- 106-TOR,premium,premium,premium
98,Robert Gasser,p,6-0,192,L,L,1999-05-31,"El Dorado Hills,CA",MLB,2024-2025,2018-2026,2021- 2- 71-SDN,premium,premium,premium
99,Leo De Vries,ss,6-1,183,B,R,2006-10-11,"Azua,DR",AA, ,2024-2026,2024- UDFA -SDN,premium,premium,premium
100,Lazaro Montes,rf,6-5,210,L,R,2004-10-22,"Havana,CU",AA, ,2022-2026,2022- UDFA -SEA,premium,premium,premium
THE BASEBALL CUBE
