rank,player,pos,ht,wt,ba,th,born,place,hilvl,mlb_years,stat_years,draft_info,status,cur_org,cur_lev
46,Matthew Liberatore,p,6-4,215,L,L,1999-11-06,"Peoria,AZ",MLB,2022-2026,2018-2026,2018- 1- 16-TBA,premium,premium,premium
47,Triston Casas,1b,6-4,244,L,R,2000-01-15,"Miami,FL",MLB,2022-2025,2018-2025,2018- 1- 26-BOS,premium,premium,premium
48,Francisco Alvarez,c,5-10,233,R,R,2001-11-19,"Guatire,VZ",MLB,2022-2026,2019-2026,2018- UDFA -NYN,premium,premium,premium
49,Josh Jung,3b,6-1,214,R,R,1998-02-12,"San Antonio,TX",MLB,2022-2026,2017-2026,2019- 1- 8-TEX,premium,premium,premium
50,Oneil Cruz,ss-cf,6-7,240,L,R,1998-10-04,"Nizao,DR",MLB,2021-2026,2016-2026,2015- UDFA -LAN,premium,premium,premium
51,Nick Gonzales,2b-ss,5-9,200,R,R,1999-05-27,"Tucson,AZ",MLB,2023-2026,2018-2026,2020- 1- 7-PIT,premium,premium,premium
52,Brailyn Marquez,p,6-4,185,L,L,1999-01-30,"Santo Domingo,DR",MLB,2020-2020,2016-2023,2015- UDFA -CHN,premium,premium,premium
53,Keibert Ruiz,c,6-0,238,B,R,1998-07-20,"Valencia,VZ",MLB,2020-2026,2015-2026,2014- UDFA -LAN,premium,premium,premium
54,Nolan Gorman,2b,6-0,225,L,R,2000-05-10,"Phoenix,AZ",MLB,2022-2026,2018-2026,2018- 1- 19-SLN,premium,premium,premium
55,Deivi Garcia,p,5-11,194,R,R,1999-05-19,"Bonao,DR",MLB,2020-2024,2016-2025,2015- UDFA -NYA,premium,premium,premium
56,Vidal Brujan,2b-ss,5-9,180,B,R,1998-02-09,"San Pedro De Macoris,DR",MLB,2021-2026,2015-2026,2014- UDFA -TBA,premium,premium,premium
57,Emerson Hancock,p,6-4,213,R,R,1999-05-31,"Cairo,GA",MLB,2023-2026,2018-2026,2020- 1- 6-SEA,premium,premium,premium
58,Quinn Priester,p,6-3,210,R,R,2000-09-16,"Glendale Heights,IL",MLB,2023-2025,2019-2026,2019- 1- 18-PIT,premium,premium,premium
59,DL Hall,p,6-1,204,L,L,1998-09-19,"Valdosta,GA",MLB,2022-2026,2017-2026,2017- 1- 21-BAL,premium,premium,premium
60,Ryan Jeffers,c-dh,6-3,235,R,R,1997-06-03,"Raleigh,NC",MLB,2020-2026,2016-2026,2018- 2- 59-MIN,premium,premium,premium
61,Brendan Rodgers,2b,6-0,204,R,R,1996-08-09,"Winter Park,FL",MLB,2019-2025,2015-2025,2015- 1- 3-COL,premium,premium,premium
62,Heston Kjerstad,rf-lf,6-2,205,L,R,1999-02-12,"Amarillo,TX",MLB,2023-2025,2018-2026,2020- 1- 2-BAL,premium,premium,premium
63,Ryan Mountcastle,1b,6-3,220,R,R,1997-02-18,"Winter Springs,FL",MLB,2020-2026,2015-2026,2015- 1- 36-BAL,premium,premium,premium
64,Clarke Schmidt,p,6-1,200,R,R,1996-02-20,"Acworth,GA",MLB,2020-2025,2015-2025,2017- 1- 16-NYA,premium,premium,premium
65,Ronny Mauricio,2b-ss,6-4,166,B,R,2001-04-04,"San Pedro De Macoris,DR",MLB,2023-2026,2018-2026,2017- UDFA -NYN,premium,premium,premium
66,Andres Gimenez,ss-2b,5-11,161,L,R,1998-09-04,"Barquisimeto,VZ",MLB,2020-2026,2016-2026,2015- UDFA -NYN,premium,premium,premium
67,Daulton Varsho,lf-cf,5-8,207,L,R,1996-07-02,"Marshfield,WI",MLB,2020-2026,2015-2026,2017- 2- 68-ARI,premium,premium,premium
68,Josiah Gray,p,6-1,209,R,R,1997-12-21,"New Rochelle,NY",MLB,2021-2024,2018-2025,2018- 2- 72-CIN,premium,premium,premium
69,Simeon Woods Richardson,p,6-3,210,R,R,2000-09-27,"Sugar Land,TX",MLB,2022-2026,2018-2026,2018- 2- 48-NYN,premium,premium,premium
70,Alejandro Kirk,c-dh,5-8,245,R,R,1998-11-06,"Tijuana,MX",MLB,2020-2026,2017-2026,2016- UDFA -TOR,premium,premium,premium
71,Jeter Downs,ss-3b,5-10,197,R,R,1998-07-27,"San Andres,CB",MLB,2022-2023,2017-2025,2017- 1- 32-CIN,premium,premium,premium
72,Brennen Davis,lf-rf,6-2,210,R,R,1999-11-02,"Chandler,AZ",AAA, ,2018-2026,2018- 2- 62-CHN,premium,premium,premium
73,Noelvi Marte,3b,6-2,216,R,R,2001-10-16,"Cotui,DR",MLB,2023-2026,2019-2026,2018- UDFA -SEA,premium,premium,premium
74,Garrett Crochet,p,6-6,245,L,L,1999-06-21,"Ocean Springs,MS",MLB,2020-2026,2018-2026,2020- 1- 11-CHA,premium,premium,premium
75,Geraldo Perdomo,ss,6-2,203,B,R,1999-10-22,"Santo Domingo,DR",MLB,2021-2026,2017-2026,2016- UDFA -ARI,premium,premium,premium
76,Adrian Morejon,p,5-11,224,L,L,1999-02-27,"Havana,CU",MLB,2019-2026,2017-2026,2016- UDFA -SDN,premium,premium,premium
77,Jazz Chisholm,2b,5-11,184,L,R,1998-02-01,"Nassau,BM",MLB,2020-2026,2016-2026,2015- UDFA -ARI,premium,premium,premium
78,Ha-Seong Kim,ss,5-10,200,R,R,1995-10-17,"Bucheon,KR",MLB,2021-2026,2021-2026,2020- UDFA -SDN,premium,premium,premium
79,Jose Barrero,ss-cf,6-4,211,R,R,1998-04-05,"Havana,CU",MLB,2020-2025,2018-2026,2017- UDFA -CIN,premium,premium,premium
80,Forrest Whitley,p,6-7,208,R,R,1997-09-15,"San Antonio,TX",MLB,2024-2025,2016-2025,2016- 1- 17-HOU,premium,premium,premium
81,Edward Cabrera,p,6-5,217,R,R,1998-04-13,"Santiago,DR",MLB,2021-2026,2016-2026,2015- UDFA -MIA,premium,premium,premium
82,Tyler Freeman,cf,5-11,190,R,R,1999-05-21,"Rancho Cucamonga,CA",MLB,2022-2026,2017-2026,2017- 2- 71-CLE,premium,premium,premium
83,Heliot Ramos,lf-cf,5-11,230,R,R,1999-09-07,"Humacao,PR",MLB,2022-2026,2017-2026,2017- 1- 19-SFN,premium,premium,premium
84,Ryan Weathers,p,6-1,230,R,L,1999-12-17,"Loretto,TN",MLB,2021-2026,2018-2026,2018- 1- 7-SDN,premium,premium,premium
85,Robert Hassell,cf-rf,6-1,186,L,L,2001-08-15,"Franklin,TN",MLB,2025-2025,2021-2026,2020- 1- 8-SDN,premium,premium,premium
86,Zac Veen,lf-rf,6-3,190,L,R,2001-12-12,"Port Orange,FL",MLB,2025-2025,2021-2026,2020- 1- 9-COL,premium,premium,premium
87,Michael Busch,1b,6-0,210,L,R,1997-11-09,"Inver Grove Heights,MN",MLB,2023-2026,2017-2026,2019- 1- 31-LAN,premium,premium,premium
88,Brice Turang,2b,5-11,190,L,R,1999-11-21,"Corona,CA",MLB,2023-2026,2018-2026,2018- 1- 21-MIL,premium,premium,premium
89,Trevor Rogers,p,6-5,217,L,L,1997-11-13,"Carlsbad,NM",MLB,2020-2026,2018-2026,2017- 1- 13-MIA,premium,premium,premium
90,Bobby Dalbec,1b-rf,6-3,225,R,R,1995-06-29,"Seattle,WA",MLB,2020-2025,2014-2025,2016- 4- 118-BOS,premium,premium,premium
91,Garrett Mitchell,cf-rf,6-2,228,L,R,1998-09-04,"Orange,CA",MLB,2022-2026,2018-2026,2020- 1- 20-MIL,premium,premium,premium
92,Tyler Soderstrom,c-1b,6-2,200,L,R,2001-11-24,"Turlock,CA",MLB,2023-2026,2021-2026,2020- 1- 26-OAK,premium,premium,premium
93,Kristian Robinson,of,6-3,190,R,R,2000-12-11,"Nassau,BM",AAA, ,2018-2026,2017- UDFA -ARI,premium,premium,premium
94,Alek Thomas,cf,5-9,175,L,L,2000-04-28,"Chicago,IL",MLB,2022-2026,2018-2026,2018- 2- 63-ARI,premium,premium,premium
95,Jackson Kowar,p,6-5,200,R,R,1996-10-04,"Weddington,NC",MLB,2021-2025,2016-2026,2018- 1- 33-KCA,premium,premium,premium
96,Orelvis Martinez,ss-3b,5-11,200,R,R,2001-11-19,"Santo Domingo,DR",MLB,2024-2024,2019-2025,2018- UDFA -TOR,premium,premium,premium
97,Austin Hendrick,rf,6-0,204,L,L,2001-06-15,"Pittsburgh,PA",AA, ,2021-2026,2020- 1- 12-CIN,premium,premium,premium
98,Matt Allan,p,6-3,225,R,R,2001-04-17,"Fullerton,CA",A+, ,2019-2025,2019- 3- 89-NYN,premium,premium,premium
99,Mick Abel,p,6-5,190,R,R,2001-08-18,"Portland,OR",MLB,2025-2026,2021-2026,2020- 1- 15-PHI,premium,premium,premium
100,Shane McClanahan,p,6-3,210,L,L,1997-04-28,"Baltimore,MD",MLB,2021-2026,2017-2026,2018- 1- 31-TBA,premium,premium,premium
THE BASEBALL CUBE
HOME
TODAY
MLB
MINORS
COLLEGE
HIGH SCHOOL
DRAFT
PROSPECTS
RESEARCH
OTHER TOPICS
ABOUT
DATA STORE
PREMIUM ACCOUNT
PLAYER TRACKER
PRIVACY
CONTACT TBC
The information used here was obtained free of charge from and is copyrighted by Retrosheet. Interested parties may contact Retrosheet a
