player_id,as_of,source,overall_rank,org_rank,list_size,org_rank_1y_ago,org_rank_2y_ago,org_rank_delta_1y,org_rank_delta_2y,mlbam_id,tbc_player_id,team,matched,match_method
draft_2022_demetrio_crisantes_r7p198,2025-01-01,Baseball America,84,2,30,,,,,702679,284690,Arizona Diamondbacks,1,mlbam
ifa_700270,2025-01-01,Baseball America,,3,30,13,27,10,24,700270,238263,Arizona Diamondbacks,1,mlbam
draft_2022_druw_jones_r1p2,2025-01-01,Baseball America,,4,30,2,4,-2,0,702258,284647,Arizona Diamondbacks,1,mlbam
ifa_800306,2025-01-01,Baseball America,,5,30,6,,1,,800306,242026,Arizona Diamondbacks,1,mlbam
draft_2024_slade_caldwell_r1p29,2025-01-01,Baseball America,,6,30,,,,,815154,331409,Arizona Diamondbacks,1,mlbam
draft_2021_adrian_del_castillo_r2p67,2025-01-01,Baseball America,,7,30,29,,22,,680728,215815,Arizona Diamondbacks,1,mlbam
draft_2024_ryan_waldschmidt_r1p31,2025-01-01,Baseball America,,8,30,,,,,814439,239410,Arizona Diamondbacks,1,mlbam
draft_2023_gino_groover_r2p48,2025-01-01,Baseball America,,9,30,5,,-4,,694410,230662,Arizona Diamondbacks,1,mlbam
draft_2023_tommy_troy_r1p12,2025-01-01,Baseball America,,10,30,3,,-7,,694371,229473,Arizona Diamondbacks,1,mlbam
draft_2024_jd_dix_r1p35,2025-01-01,Baseball America,,11,30,,,,,807267,331434,Arizona Diamondbacks,1,mlbam
ifa_800198,2025-01-01,Baseball America,,12,30,16,21,4,9,800198,242031,Arizona Diamondbacks,1,mlbam
ifa_807957,2025-01-01,Baseball America,,13,30,19,,6,,807957,291266,Arizona Diamondbacks,1,mlbam
ifa_691441,2025-01-01,Baseball America,,14,30,,,,,691441,237092,Arizona Diamondbacks,1,mlbam
ifa_801179,2025-01-01,Baseball America,,15,30,7,19,-8,4,801179,284199,Arizona Diamondbacks,1,mlbam
draft_2024_daniel_eagen_r3p102,2025-01-01,Baseball America,,16,30,,,,,811666,242245,Arizona Diamondbacks,1,mlbam
draft_2022_dylan_ray_r4p108,2025-01-01,Baseball America,,17,30,8,20,-9,3,691009,229868,Arizona Diamondbacks,1,mlbam
ifa_692544,2025-01-01,Baseball America,,18,30,,,,,692544,236965,Arizona Diamondbacks,1,mlbam
