oof,cal,event,h,slice,n,ece,brier,logloss,ratio,top_n,top_pred,top_actual,top_gap
bagmatched,spline,TOP_100_PROSPECT,6,all,35351,0.0015275236621771144,0.007058151720546039,0.027985471867963786,0.9380829477245783,70,0.808661764389073,0.7571428571428571,-0.051518907246215884
bagmatched,spline,TOP_100_PROSPECT,6,yip<=3,17531,0.0033025380829354214,0.01394594967910111,0.0550583964074714,0.9183171420326902,68,0.8081294204793508,0.75,-0.05812942047935077
bagmatched,spline,MLB_DEBUT,1,all,45887,0.0019737415059076354,0.01176391407049364,0.0432007923965748,0.9424577173398301,77,0.7788160917156424,0.6883116883116883,-0.09050440340395405
bagmatched,spline,MLB_DEBUT,1,yip<=3,19535,0.001947525881095275,0.014663060848308663,0.05316690446779644,0.9734732219624946,52,0.7789305911892606,0.6730769230769231,-0.10585366811233743
bagmatched,spline,MLB_DEBUT,3,all,42591,0.00554169301354182,0.030929032197724398,0.10720892738890397,0.9475235253623536,391,0.8097093928513843,0.7621483375959079,-0.04756105525547638
bagmatched,spline,MLB_DEBUT,3,yip<=3,19518,0.00872061656209129,0.04704877856947812,0.16065997717565375,0.9422701461046673,288,0.8107821155323163,0.7673611111111112,-0.04342100442120511
bagmatched,spline,MLB_DEBUT,6,all,35658,0.00676817244712131,0.04760128849286097,0.1590015235896989,0.9725731767520951,631,0.8044495720726627,0.7892234548335975,-0.015226117239065196
bagmatched,spline,MLB_DEBUT,6,yip<=3,17696,0.0121476602783282,0.07573156303976467,0.2497836023528298,0.9569472346433606,520,0.8036258137568255,0.7903846153846154,-0.013241198372210161
bagmatched,spline,ESTABLISHED_MLB,1,all,45887,4.680540690044706e-05,8.045560761648949e-05,0.0005169419765413189,1.1146714688742494,0,,,
bagmatched,spline,ESTABLISHED_MLB,1,yip<=3,19535,6.995005869353904e-05,0.00018847956265028956,0.001120587019010463,0.6583814008554288,0,,,
bagmatched,spline,ESTABLISHED_MLB,3,all,42591,0.001511944813730102,0.0048609398446079095,0.01984832632657236,0.7940367748575219,4,0.7226884877524763,1.0,0.2773115122475237
bagmatched,spline,ESTABLISHED_MLB,3,yip<=3,19518,0.0026813209977029667,0.008173161070689288,0.03157902595340161,0.7854340271744543,4,0.7226884877524763,1.0,0.2773115122475237
bagmatched,spline,ESTABLISHED_MLB,6,all,35658,0.002892493683653707,0.01727288686508228,0.06560339163698824,0.9153124472395971,25,0.7409039286786928,0.68,-0.060903928678692765
bagmatched,spline,ESTABLISHED_MLB,6,yip<=3,17696,0.005082899068444384,0.029132821071226028,0.10859871126635044,0.9106153040220892,23,0.7418431907953225,0.7391304347826086,-0.002712756012713813
bagmatched,spline,STAR_PLUS_ELITE,1,all,45887,5.263949481364172e-06,8.356623964561357e-05,0.00044610259602859094,0.9396132875371606,0,,,
bagmatched,spline,STAR_PLUS_ELITE,1,yip<=3,19535,5.154726416069065e-05,0.000196269466328796,0.001008683924294382,0.748256048655227,0,,,
bagmatched,spline,STAR_PLUS_ELITE,3,all,42591,0.0002536065422439438,0.0007870428489709686,0.003976489747669541,0.6999623266468941,0,,,
bagmatched,spline,STAR_PLUS_ELITE,3,yip<=3,19518,0.0005291099295550001,0.0015172535625703274,0.007451302904110288,0.6772760123420474,0,,,
bagmatched,spline,STAR_PLUS_ELITE,6,all,35658,0.0006423017181890092,0.0037131897408953438,0.01698156599955925,0.936830812748252,0,,,
bagmatched,spline,STAR_PLUS_ELITE,6,yip<=3,17696,0.0009656357097902013,0.006543638321198681,0.029049188109689195,0.9668573537349897,0,,,
bagmatched,iso,TOP_100_PROSPECT,1,all,45520,0.00038440217814216703,0.0019538166111713927,0.0076687496251267515,0.9797890351527131,19,0.8480989246733482,0.9473684210526315,0.09926949637928328
bagmatched,iso,TOP_100_PROSPECT,1,yip<=3,19353,0.0009608636137496516,0.004334748477179652,0.016882624058885052,0.9838554306028107,18,0.8468774499282303,0.9444444444444444,0.09756699451621409
bagmatched,iso,TOP_100_PROSPECT,3,all,42236,0.0013814637604079572,0.0051841294467848305,0.020890966007887566,0.941770952449832,65,0.8260027506506695,0.7692307692307693,-0.05677198141990025
bagmatched,iso,TOP_100_PROSPECT,3,yip<=3,19336,0.003046971374545498,0.010954401089037405,0.04378266405528199,0.931212560283059,63,0.8260759110767987,0.7619047619047619,-0.06417114917203681
bagmatched,iso,TOP_100_PROSPECT,6,all,35351,0.0016564312458839756,0.007090163022794367,0.0280955256685896,0.9509474123461553,66,0.8302844975737483,0.7727272727272727,-0.05755722484647563
bagmatched,iso,TOP_100_PROSPECT,6,yip<=3,17531,0.0035272827369730564,0.014011184094253016,0.05532949220885208,0.9331864107506396,64,0.8304903194595652,0.765625,-0.0648653194595652
bagmatched,iso,MLB_DEBUT,1,all,45887,0.0018302923547134187,0.011755254807340161,0.0431605428294026,0.9447310470743069,67,0.7925551236022143,0.7014925373134329,-0.09106258628878139
bagmatched,iso,MLB_DEBUT,1,yip<=3,19535,0.0014686589088406883,0.014637327272628533,0.05303123638055529,0.9774155470809003,44,0.7933653061944722,0.6818181818181818,-0.11154712437629044
bagmatched,iso,MLB_DEBUT,3,all,42591,0.005118732553269577,0.030929167001990755,0.10730882505918828,0.9453989388153571,341,0.8293918610672348,0.7653958944281525,-0.06399596663908236
bagmatched,iso,MLB_DEBUT,3,yip<=3,19518,0.007798804013771892,0.04705125093977213,0.16071375954938874,0.9398273230679246,249,0.8312098781792445,0.7670682730923695,-0.06414160508687505
bagmatched,iso,MLB_DEBUT,6,all,35658,0.005068805212932251,0.047553017389382286,0.15885066316751634,0.9696202200241456,582,0.8172716396849934,0.7989690721649485,-0.018302567520044888
bagmatched,iso,MLB_DEBUT,6,yip<=3,17696,0.008773739043682229,0.07566938965970073,0.24951291684603039,0.9543150039893635,476,0.8167644911422897,0.8004201680672269,-0.016344323075062728
bagmatched,iso,ESTABLISHED_MLB,1,all,45887,2.1699949969441422e-05,8.053920031946221e-05,0.0004953961272642266,0.7510635989380604,0,,,
bagmatched,iso,ESTABLISHED_MLB,1,yip<=3,19535,0.00010732305532434577,0.0001886731446990719,0.0011070550181544456,0.47586102855972634,0,,,
bagmatched,iso,ESTABLISHED_MLB,3,all,42591,0.001532375879993486,0.0048394949163128075,0.01987020832325679,0.7816456843590288,3,0.7196808510638298,1.0,0.28031914893617016
bagmatched,iso,ESTABLISHED_MLB,3,yip<=3,19518,0.0026980368292141687,0.008144212606262469,0.03155555645855323,0.7748977685444618,3,0.7196808510638298,1.0,0.28031914893617016
bagmatched,iso,ESTABLISHED_MLB,6,all,35658,0.0025963328250893356,0.017332092853443976,0.06570529884227358,0.9131426844738572,24,0.739738475177305,0.6666666666666666,-0.07307180851063833
bagmatched,iso,ESTABLISHED_MLB,6,yip<=3,17696,0.004647946714265908,0.029235616038694307,0.10880911013012806,0.9080889902089444,22,0.7412354932301741,0.7272727272727273,-0.013962765957446832
bagmatched,iso,STAR_PLUS_ELITE,1,all,45887,2.8931599201595823e-05,8.344469289258511e-05,0.00041727650204017826,0.6681039268590931,0,,,
bagmatched,iso,STAR_PLUS_ELITE,1,yip<=3,19535,8.837194219944136e-05,0.00019597485841366975,0.0009597376787477085,0.5684135272834783,0,,,
bagmatched,iso,STAR_PLUS_ELITE,3,all,42591,0.00023724597851678834,0.0007916901884071572,0.004013081030999211,0.7193182369164296,0,,,
bagmatched,iso,STAR_PLUS_ELITE,3,yip<=3,19518,0.0004818272777478235,0.001527129079609004,0.0075027990451628284,0.7061154747786871,0,,,
bagmatched,iso,STAR_PLUS_ELITE,6,all,35658,0.00032103877981290094,0.0037001560292054007,0.01703787203406509,0.9303167388118276,0,,,
bagmatched,iso,STAR_PLUS_ELITE,6,yip<=3,17696,0.00036572803812569895,0.006520381469440404,0.02915298994908166,0.9597048163908752,0,,,
