key_fangraphs,key_mlbam,name_first,name_last
1006187,116310,Mike,Humphreys
1000084,110088,Juan,Agosto
789,119975,Troy,O'Leary
-1,-1,Frank,Goldthwaite
1014391,124713,Russ,Young
-1,816459,Zollie,Wright
1012276,122532,Andy,Sommers
1012531,122790,Phil,Stidham
1620,425146,Nate,Robertson
7250,518577,Collin,Cowgill
-1,447980,Tony,Diaz
-1,817918,Clarence,Orme
-1,541663,Greg,Royce
1007861,118033,Danny,Lynch
1014278,124593,Gene,Wright
1001171,111201,Barry,Bonnell
-1,-1,Thomas,Zacharias
1001152,111181,Cecil,Bolton
1007144,117295,Jack,Kraus
27459,660294,Yoshi,Tsutsugo
1011595,121847,Jeff,Schneider
1007751,117914,Al,Lopez
1002945,113009,Pete,Daley
1244,150277,Doug,Davis
1005346,115458,Jumbo,Harting
1005735,115855,John,Herrnstein
1000064,110066,Spencer,Adams
1011613,121865,Paul,Schreiber
1013582,123891,Bernie,Walter
1000827,110850,Charles,Bender
1004403,114489,Bill,Fulton
-1,643585,Justin,Viele
27583,670183,Garrett,Acton
773,275933,Scott,Downs
-1,816950,Harold,Thompson
9494,502055,Jay,Buente
7705,452075,Connor,Robertson
1012303,122561,Bill,Spanswick
1008548,118732,Mark,McGrillis
1002250,112303,Bobby,Clack
1004956,115052,Mickey,Grasso
1002759,112818,Pete,Cregan
1001257,111295,Jim,Bowie
629,488681,Brandon,Barnes
1008575,118759,Otto,McIvor
1001233,111271,Medric,Boucher
1005531,115646,Von,Hayes
1013556,123869,Red,Waller
1004790,114878,Jot,Goar
1007292,117450,Rafael,Landestoy
2388,430898,Jason,Alfaro
1010180,120406,Danny,Perez
1013704,124010,Roger,Weaver
774,113784,Joey,Eischen
-1,-1,Curly,Clement
1006281,116410,Walt,Irwin
1013083,123361,Jack,Tising
1009307,119499,Joe,Mulligan
25764,677951,Bobby,Witt
-1,819692,Vet,Dunbar
-1,492705,Joe,Vavra
4418,476704,Jed,Lowrie
1004975,115069,Milt,Gray
1003032,113092,Jerry,Davie
1007314,117470,Don,Lang
52,112736,Craig,Counsell
14593,623520,David,Bote
1003471,113536,D. J.,Dozier
10500,502011,Preston,Claiborne
1009400,119577,Tony,Murray
24388,679563,José,Rodriguez
1013980,124292,Charlie,Williams
1005741,115861,Orel,Hershiser
1006118,116244,Walt,Hriniak
1008663,118849,Gordon,McNaughton
1008777,118965,Mark,Mercer
-1,-1,John,Wildey
16207,605513,Spencer,Turnbull
-1,435359,Jon,Debus
1012371,122628,Mike,Squires
1012460,122716,Dave,Stegman
1001994,112029,Lew,Carr
1010121,120349,Al,Pedrique
1011865,122124,Ray,Shepardson
9261,572810,Ryan,Dennick
1007940,118108,Frank,Madden
1000630,110648,Bob,Barton
1010945,121191,Dorsey,Riddlemoser
828,276376,Nick,Johnson
1003306,113372,Packy,Dillon
9187,458668,Jordan,Danks
-1,521889,Stu,Scheurwater
1006820,116965,Bill,Kelso
1012359,122615,George,Spriggs
1008205,118385,Joe,Marty
13590,608385,Jesse,Winker
1014417,124742,Dom,Zanni
-1,817004,,Tenny
8278,448590,Kevin,Melillo
1006726,116871,Greg,Keagle
9393,571431,Matt,Adams
2184,408212,Gabe,Gross
-1,817743,,Piccard
3184,456034,David,Price
1014422,124747,Norm,Zauchin
-1,816716,Jasper,Washington
-1,694680,Trevor,Martin
1007755,117918,Héctor,López
1003087,113145,Wiley,Davis
387,115263,Ricky,Gutiérrez
-1,457870,Ryan,Ellis
1003034,113097,Bill,Davis
1329,218595,Chris,Woodward
1005612,115726,Ty,Helfrich
1009359,119551,Dwayne,Murphy
22092,667725,Kyle,Tyler
-1,501169,Bob,Maver
1005401,115542,Bob,Harrison
-1,655676,Kyle,Traynor
-1,817083,Frank,Stinson
13602,621550,Patrick,Wisdom
3658,543340,Kyle,Hudson
1003162,113225,Art,Delaney
10053,502205,Grant,Green
132,112682,Marty,Cordova
-1,820101,Red,Charleston
1008104,118281,Leo,Marentette
1011112,121364,Rosario,Rodríguez
1005927,116050,Bill,Hogg
25867,668952,Ryan,Kreidler
19192,670087,Brandyn,Sittinger
1012190,122444,Pete,Smith
952,112690,Rheal,Cormier
1010163,120387,Will,Pennyfeather
1001562,111595,Tom,Brown
1001138,111167,Ed,Boland
21896,666622,Brailyn,Márquez
1011503,121754,Al,Schacht
3219,502139,Josh,Stinson
1003570,113642,Mike,Dunne
1002244,112296,Frank,Cipriani
1001732,111774,John,Burrows
1002771,112830,Dave,Criscione
3369,434623,Juan,Morillo
-1,-1,Frank,Dezelan
1007357,117511,John,LaRose
27463,676979,Garrett,Crochet
1003579,113641,Todd,Dunn
8651,501687,Luis,Marte
-1,693080,Tyler,Smarslok
-1,-1,Ben,Hines
12384,607333,Beau,Taylor
2081,425513,Craig,Brazell
12240,595441,Matt,Tracy
1005271,115379,Dave,Hamilton
6601,452215,Luke,Montz
6282,457566,Greg,Burke
1004381,114466,Woodie,Fryman
12143,592329,Jason,García
1010401,120632,Jeff,Plympton
17237,592169,Austin,Brice
15524,627500,Jen-Ho,Tseng
1001519,111605,George,Browne
-1,-1,Charles,Porter
1827,425428,Jorge,De Paula
1008161,118371,Dennis,Martínez
7226,571602,Matt,Davidson
-1,817435,Howard,Ross
1001875,111922,Bruce,Campbell
-1,-1,Dave,Pallone
1008872,119131,Bill,Miller
1009722,119929,Ken,O'Dea
-1,818005,Larry,Napoleon
31676,687931,Carson,Whisenhunt
1009437,119639,Judge,Nagle
6398,543507,Trevor,May
-1,-1,Greg,Biagini
22210,669093,Jeremiah,Estrada
1009842,120060,Mike,O'Rourke
1004312,114396,Scott,Fredrickson
-1,575629,Shane,Livensparger
-1,816656,Clifford,White
8760,451713,Carlos,Peguero
1010574,120809,Oscar,Purner
-1,-1,H.,Wilson
9651,514639,José,Ortega
9112,501981,Khris,Davis
1013672,123980,Pat,Watkins
1004914,115009,Mike,Grace
1013113,123391,Chuck,Tompkins
1008094,118271,Cliff,Mapes
1011861,122119,Skeeter,Shelton
1013220,123504,George,Turbeville
-1,818243,Jim,McCurine
-1,817665,Wilbert,Pritchett
-1,818572,Jim,LaMarque
1008079,118254,Tom,Mansell
1005023,115119,Frank,Gregory
-1,-1,Gus,Scheu
1011009,121256,Johnny,Rizzo
2790,461791,Carlos,Marmól
1007988,118162,Rick,Mahler
1568,424725,Carl,Sadler
11467,595918,A. J.,Cole
13325,571918,Deven,Marrero
25550,663362,Matt,Waldron
1001574,111614,Lou,Bruce
1010534,133222,Eddie,Priest
1008485,118668,Guy,McFadden
10951,594824,Greg,Garcia
-1,117936,Patrick,O'Loughlin
1013578,123884,Joe,Walsh
1000665,110685,Kevin,Batiste
-1,820382,John,Britton
-1,817266,George,Sias
1009237,119431,Ross,Moschitto
-1,455007,Ben,Fritz
1003485,113550,Jake,Drauby
1086,118365,Edgar,Martínez
-1,820233,Luis,Cabrera
-1,-1,Joe,Driscoll
72,121117,Armando,Reynoso
1011202,121457,Rosie,Rosebraugh
33644,692225,Kristian,Campbell
13164,593958,Eduardo,Rodríguez
1012949,123221,Ron,Theobald
163,276537,Chris,Richard
1012839,123105,Stu,Tate
4661,457821,Wes,Bankston
1014235,124559,Clarence,Woods
1012732,122993,Pete,Susko
1004856,114952,Billy,Goodman
20353,621051,Steven,Wilson
1005866,115988,Don,Hoak
-1,818128,Jim,Missouri
1001697,111738,Hercules,Burnett
1002559,112615,Ed,Conwell
1004064,114144,Daniel,Firova
1001555,111607,Pidge,Browne
-1,-1,Bill,Rosenberry
-1,817799,José,Pereira
1011238,121489,Braggo,Roth
1000422,110442,Fred,Bailey
-1,818007,Bill,Myers
1688,425817,Jesse,Foppert
16309,657117,Austen,Williams
1004865,114944,Wilbur,Good
2187,430631,Reggie,Abercrombie
1007944,118110,Mike,Madden
1876,430838,Willy,Taveras
14916,592351,Jon,Gray
1011556,121806,Dutch,Schesler
-1,819891,Porter,Dallas
13821,622210,Ian,Parmley
658,116747,Brian,Jordan
17737,623507,Josh,Lester
