player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2024_nathan_flewelling_r3p94,Nathan Flewelling,R2-R3,2024.0,3.0,C,Tampa Bay Rays,A+,22.0,2,0.16543695,0.6128274,0.19568269,0.035110697,2.908692337022424,True,60.0,55.0,25.0,https://www.ebay.com/itm/406929963899?_skw=%22Nathan+Flewelling%22+1st+Bowman+Chrome+auto&hash=item5ebeea7b7b:g:QGsAAeSw9fpqB-1a
draft_2023_tate_kuehner_r7p212,Tate Kuehner,R4-R10,2023.0,7.0,P,Milwaukee Brewers,AAA,25.0,3,0.0014646378,0.60972834,0.003353549,0.00094766193,2.0400347105380723,True,,,,
draft_2024_zach_ehrhard_r4p115,Zach Ehrhard,R4-R10,2024.0,4.0,OF,Boston Red Sox,AAA,22.0,2,0.052663647,0.60680676,0.21932955,0.036051515,2.6140442580068863,True,,,,
draft_2025_aj_russell_r2p52,AJ Russell,R2-R3,2025.0,2.0,RHP,Texas Rangers,A+,22.0,1,0.10225049,0.6059737,0.110689506,0.019735003,2.18154342801881,True,27.495,19.9925,14.0,https://www.ebay.com/itm/277920183818?_skw=%22AJ+Russell%22+1st+Bowman+Chrome+auto&hash=item40b555760a:g:x1kAAeSwzGVp6X1b
ifa_829058,Gabriel Davalillo,IFA,,,C,,A,19.0,1,0.16964903,0.6052644,0.2238724,0.06515679,3.0725406374163144,True,25.0,24.96,22.0,https://www.ebay.com/itm/168374806555?_skw=%22Gabriel+Davalillo%22+1st+Bowman+Chrome+auto&hash=item2733eba81b:g:n5QAAeSw7IlqBbPL
draft_2023_ethan_pecko_r6p194,Ethan Pecko,R4-R10,2023.0,6.0,P,Houston Astros,AAA,24.0,3,0.006964221,0.5990155,0.0056478023,0.00496624,2.1134962750730093,True,25.0,19.99,17.0,https://www.ebay.com/itm/206278959840?_skw=%22Ethan+Pecko%22+1st+Bowman+Chrome+auto&hash=item30072f22e0:g:eZoAAeSwmc1qCLw1
draft_2024_izaak_martinez_r18p535,Izaak Martinez,R10+,2024.0,18.0,LHP,Cleveland Guardians,AAA,22.0,2,0.10181454,0.5929871,0.14247736,0.022945909,2.459784444097151,True,,,,
draft_2025_braeden_sloan_r17p514,Braeden Sloan,R10+,2025.0,17.0,LHP,Baltimore Orioles,A+,22.0,1,0.13326374,0.5923019,0.14770368,0.03185801,2.559006997151774,True,,,,
draft_2023_levi_wells_r4p118,Levi Wells,R4-R10,2023.0,4.0,RHP,Baltimore Orioles,AAA,25.0,3,0.0036717919,0.5916882,0.008814416,0.0031819344,2.117053671639738,True,8.99,8.99,1.0,https://www.ebay.com/itm/306291749999?_skw=%22Levi+Wells%22+1st+Bowman+Chrome+auto&hash=item475069346f:g:itEAAeSwSdJoHCO6
draft_2025_chase_shores_r2p47,Chase Shores,R2-R3,2025.0,2.0,RHP,Los Angeles Angels,A+,22.0,1,0.054854896,0.5914068,0.13149072,0.023480237,2.469935655293502,True,25.0,17.95,13.0,https://www.ebay.com/itm/198355934798?_skw=%22Chase+Shores%22+1st+Bowman+Chrome+auto&hash=item2e2eef5e4e:g:T7MAAeSwyXRqBnfm
