player_id,name,bucket,draft_year,draft_round,primary_position,current_org,cur_level_2026,age_at_snap,years_in_pro,p_TOP_100_PROSPECT,p_MLB_DEBUT,p_ESTABLISHED_MLB,p_STAR_PLUS_ELITE,time_to_debut,passes_filter,ebay_price_median,ebay_price_p25,ebay_n_listings,ebay_top_listing_url
draft_2024_jared_thomas_r2p42,Jared Thomas,R2-R3,2024.0,2.0,OF,Colorado Rockies,NONE,23.0,2,0.031818714,0.6205879,0.0036046065,0.0017530065,1.7967766192509005,True,49.99,27.495,15.0,https://www.ebay.com/itm/205509009013?_skw=%22Jared+Thomas%22+1st+Bowman+Chrome+auto&hash=item2fd94a9e75:g:sfIAAeSwBaFoMr20
ifa_829058,Gabriel Davalillo,IFA,,,C,,A,19.0,1,0.17721511,0.6202291,0.20262083,0.0684247,2.878562698980953,True,25.0,24.96,22.0,https://www.ebay.com/itm/168374806555?_skw=%22Gabriel+Davalillo%22+1st+Bowman+Chrome+auto&hash=item2733eba81b:g:n5QAAeSw7IlqBbPL
draft_2024_daniel_eagen_r3p102,Daniel Eagen,R2-R3,2024.0,3.0,RHP,Arizona Diamondbacks,AA,24.0,2,0.0054606055,0.618548,0.0035710486,0.0016351942,2.0840156457255548,True,24.99,19.99,15.0,https://www.ebay.com/itm/168287825648?_skw=%22Daniel+Eagen%22+1st+Bowman+Chrome+auto&hash=item272ebc6ef0:g:~UwAAeSwyZRp0gIU
draft_2021_ben_malgeri_r18p525,Ben Malgeri,R10+,2021.0,18.0,OF,Detroit Tigers,AAA,26.0,5,0.0011057173,0.61764514,0.003852978,0.00046305842,1.2637432256948753,True,,,,
draft_2025_jackson_steensma_r9p272,Jackson Steensma,R4-R10,2025.0,9.0,RHP,Seattle Mariners,A,22.0,1,0.09051963,0.61668766,0.008464576,0.004392105,2.455961422564015,True,,,,
draft_2023_matthew_etzel_r10p301,Matthew Etzel,R4-R10,2023.0,10.0,P,Baltimore Orioles,AAA,24.0,3,0.0025381409,0.61645705,0.00283182,0.0010682005,2.0523399876737765,True,5.88,4.99,45.0,https://www.ebay.com/itm/406914439888?_skw=%22Matthew+Etzel%22+1st+Bowman+Chrome+auto&hash=item5ebdfd9ad0:g:5a8AAeSwkxVp~pj7
draft_2023_ethan_pecko_r6p194,Ethan Pecko,R4-R10,2023.0,6.0,P,Houston Astros,AAA,24.0,3,0.0034084723,0.6152124,0.0054201763,0.002932349,2.1015835389540545,True,25.0,19.99,17.0,https://www.ebay.com/itm/206278959840?_skw=%22Ethan+Pecko%22+1st+Bowman+Chrome+auto&hash=item30072f22e0:g:eZoAAeSwmc1qCLw1
draft_2023_cam_minacci_r6p174,Cam Minacci,R4-R10,2023.0,6.0,P,Los Angeles Angels,AA,24.0,3,0.003435244,0.6143551,0.0054993215,0.0031499744,2.167480128575603,True,,,,
draft_2025_eric_snow_r6p172,Eric Snow,R4-R10,2025.0,6.0,SS,Toronto Blue Jays,AA,22.0,1,0.036097728,0.6138352,0.005307856,0.006708653,2.443953792506343,True,,,,
ifa_700164,Bryant Betancourt,IFA,,,C,,AAA,23.0,5,0.0050872797,0.60888344,0.14521499,0.010920488,2.785776036453358,True,7.71,4.99,30.0,https://www.ebay.com/itm/336571225307?_skw=%22Bryant+Betancourt%22+1st+Bowman+Chrome+auto&hash=item4e5d3554db:g:6tUAAeSwM~Rp-5Cd
draft_2023_garret_forrester_r3p73,Garret Forrester,R2-R3,2023.0,3.0,3B,Pittsburgh Pirates,AAA,25.0,3,0.001952915,0.60760087,0.0022380946,0.00095661654,2.104886450876993,True,7.73,5.95,33.0,https://www.ebay.com/itm/116782071168?_skw=%22Garret+Forrester%22+1st+Bowman+Chrome+auto&hash=item1b30c0fd80:g:5gkAAeSwGQJoyP~B
draft_2025_gabe_davis_r5p137,Gabe Davis,R4-R10,2025.0,5.0,RHP,Chicago White Sox,AA,23.0,1,0.07837827,0.604894,0.0077679977,0.0017231937,2.015924359956457,True,,,,
draft_2024_aj_causey_r5p138,A.J. Causey,R4-R10,2024.0,5.0,RHP,Kansas City Royals,AA,24.0,2,0.0049811355,0.60455793,0.00446859,0.002593307,2.1572268655904305,True,,,,
draft_2024_charlie_beilenson_r5p154,Charlie Beilenson,R4-R10,2024.0,5.0,RHP,Seattle Mariners,AA,27.0,2,0.0034696301,0.6032549,0.008231624,0.0010609112,1.8581386593062725,True,2.49,2.49,1.0,https://www.ebay.com/itm/167508766365?_skw=%22Charlie+Beilenson%22+1st+Bowman+Chrome+auto&hash=item27004cee9d:g:U7sAAOSwzXtoIaO4
draft_2024_billy_amick_r2p60,Billy Amick,R2-R3,2024.0,2.0,3B,Minnesota Twins,AA,24.0,2,0.0071659633,0.6003726,0.0034644355,0.0015742615,2.278579727199373,True,24.995,19.99,24.0,https://www.ebay.com/itm/205907260600?_skw=%22Billy+Amick%22+1st+Bowman+Chrome+auto&hash=item2ff10774b8:g:iOUAAeSw3ptoiAUg
ifa_699114,Leo Balcazar,IFA,,,SS,,AA,22.0,5,0.0069616553,0.600067,0.1746472,0.011473403,3.052427582154104,True,29.99,29.99,1.0,https://www.ebay.com/itm/358448282089?_skw=%22Leo+Balcazar%22+1st+Bowman+Chrome+auto&hash=item53752eb9e9:g:nA0AAeSw9cNp3ybG
